"Time","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr"
0.0,0.3173545821,6.226469816E-5
5.0E-5,0.3173553404,6.369145661E-5
1.0E-4,0.3173560682,6.50589243E-5
1.5E-4,0.3173567648,6.636575089E-5
2.0E-4,0.3173574296,6.761064593E-5
2.5E-4,0.3173580618,6.87923801E-5
3.0E-4,0.3173586609,6.990978648E-5
3.5E-4,0.3173592262,7.096176165E-5
4.0E-4,0.3173597573,7.194726681E-5
4.5E-4,0.3173602535,7.28653288E-5
5.0E-4,0.3173607144,7.371504109E-5
5.5E-4,0.3173611395,7.449556461E-5
6.0E-4,0.3173615285,7.520612866E-5
6.5E-4,0.3173618809,7.584603163E-5
7.0E-4,0.3173621964,7.641464169E-5
7.5E-4,0.3173624746,7.691139743E-5
8.0E-4,0.3173627153,7.733580841E-5
8.5E-4,0.3173629184,7.768745566E-5
9.0E-4,0.3173630834,7.796599207E-5
9.5E-4,0.3173632104,7.817114275E-5
0.001,0.3173632992,7.830270528E-5
0.00105,0.3173633496,7.836054994E-5
0.0011,0.3173633617,7.834461983E-5
0.00115,0.3173633354,7.82549309E-5
0.0012,0.3173632708,7.809157197E-5
0.00125,0.3173631679,7.785470464E-5
0.0013,0.3173630268,7.754456307E-5
0.00135,0.3173628477,7.716145383E-5
0.0014,0.3173626308,7.670575555E-5
0.00145,0.3173623762,7.617791853E-5
0.0015,0.3173620842,7.557846436E-5
0.00155,0.3173617551,7.490798531E-5
0.0016,0.3173613892,7.416714383E-5
0.00165,0.317360987,7.335667184E-5
0.0017,0.3173605487,7.247737003E-5
0.00175,0.3173600748,7.153010703E-5
0.0018,0.3173595659,7.05158186E-5
0.00185,0.3173590223,6.943550669E-5
0.0019,0.3173584447,6.829023843E-5
0.00195,0.3173578335,6.708114505E-5
0.002,0.3173571895,6.580942083E-5
0.00205,0.3173565132,6.447632187E-5
0.0021,0.3173558054,6.308316485E-5
0.00215,0.3173550666,6.163132573E-5
0.0022,0.3173542977,6.012223839E-5
0.00225,0.3173534994,5.85573932E-5
0.0023,0.3173526725,5.693833559E-5
0.00235,0.3173518179,5.526666444E-5
0.0024,0.3173509362,5.354403057E-5
0.00245,0.3173500285,5.177213509E-5
0.0025,0.3173490957,4.99527277E-5
0.00255,0.3173481386,4.808760496E-5
0.0026,0.3173471581,4.617860854E-5
0.00265,0.3173461554,4.422762338E-5
0.0027,0.3173451313,4.223657583E-5
0.00275,0.3173440868,4.020743172E-5
0.0028,0.3173430231,3.814219445E-5
0.00285,0.3173419411,3.604290302E-5
