"Time","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr"
0.0,0.3174430954,-1.396265234E-5
5.0E-5,0.3174418391,-1.628166319E-5
1.0E-4,0.3174405901,-1.858590765E-5
1.5E-4,0.3174393497,-2.087311174E-5
2.0E-4,0.3174381191,-2.314101836E-5
2.5E-4,0.3174368995,-2.538738951E-5
3.0E-4,0.3174356921,-2.76100085E-5
3.5E-4,0.3174344982,-2.98066821E-5
4.0E-4,0.3174333188,-3.197524277E-5
4.5E-4,0.3174321552,-3.41135507E-5
5.0E-4,0.3174310085,-3.621949603E-5
5.5E-4,0.3174298798,-3.829100083E-5
6.0E-4,0.3174287703,-4.032602121E-5
6.5E-4,0.317427681,-4.232254931E-5
7.0E-4,0.317426613,-4.427861528E-5
7.5E-4,0.3174255674,-4.619228921E-5
8.0E-4,0.3174245452,-4.806168307E-5
8.5E-4,0.3174235474,-4.988495251E-5
9.0E-4,0.3174225751,-5.166029872E-5
9.5E-4,0.317421629,-5.338597019E-5
0.001,0.3174207103,-5.506026442E-5
0.00105,0.3174198197,-5.668152961E-5
0.0011,0.3174189582,-5.824816628E-5
0.00115,0.3174181266,-5.975862886E-5
0.0012,0.3174173258,-6.121142718E-5
0.00125,0.3174165564,-6.260512796E-5
0.0013,0.3174158194,-6.393835623E-5
0.00135,0.3174151154,-6.520979667E-5
0.0014,0.3174144451,-6.64181949E-5
0.00145,0.3174138092,-6.756235872E-5
0.0015,0.3174132082,-6.864115928E-5
0.00155,0.3174126429,-6.96535322E-5
0.0016,0.3174121137,-7.059847862E-5
0.00165,0.3174116211,-7.147506616E-5
0.0017,0.3174111657,-7.228242985E-5
0.00175,0.317410748,-7.301977301E-5
0.0018,0.3174103682,-7.368636798E-5
0.00185,0.3174100268,-7.428155688E-5
0.0019,0.3174097242,-7.480475223E-5
0.00195,0.3174094605,-7.525543753E-5
0.002,0.3174092362,-7.563316781E-5
0.00205,0.3174090514,-7.593757002E-5
0.0021,0.3174089062,-7.61683434E-5
0.00215,0.3174088009,-7.63252598E-5
0.0022,0.3174087355,-7.640816391E-5
0.00225,0.3174087101,-7.641697336E-5
0.0023,0.3174087247,-7.635167887E-5
0.00235,0.3174087794,-7.621234422E-5
0.0024,0.317408874,-7.59991062E-5
0.00245,0.3174090085,-7.571217447E-5
0.0025,0.3174091826,-7.535183135E-5
0.00255,0.3174093964,-7.491843155E-5
0.0026,0.3174096495,-7.441240184E-5
0.00265,0.3174099417,-7.383424059E-5
0.0027,0.3174102727,-7.31845173E-5
0.00275,0.3174106422,-7.246387208E-5
0.0028,0.3174110498,-7.167301493E-5
0.00285,0.3174114951,-7.081272513E-5
0.0029,0.3174119777,-6.988385044E-5
0.00295,0.3174124971,-6.888730625E-5
0.003,0.3174130528,-6.78240747E-5
0.00305,0.3174136442,-6.669520372E-5
0.0031,0.3174142708,-6.550180598E-5
0.00315,0.3174149319,-6.42450578E-5
0.0032,0.3174156269,-6.292619801E-5
0.00325,0.3174163552,-6.154652672E-5
0.0033,0.3174171159,-6.010740402E-5
0.00335,0.3174179083,-5.861024869E-5
0.0034,0.3174187317,-5.705653677E-5
0.00345,0.3174195852,-5.544780009E-5
0.0035,0.3174204681,-5.37856248E-5
0.00355,0.3174213793,-5.207164981E-5
0.0036,0.3174223181,-5.030756512E-5
0.00365,0.3174232835,-4.849511023E-5
0.0037,0.3174242745,-4.663607237E-5
0.00375,0.3174252902,-4.473228478E-5
0.0038,0.3174263296,-4.278562486E-5
0.00385,0.3174273916,-4.079801238E-5
0.0039,0.3174284753,-3.877140754E-5
0.00395,0.3174295794,-3.670780906E-5
0.004,0.317430703,-3.460925222E-5
0.00405,0.3174318449,-3.247780683E-5
0.0041,0.3174330041,-3.031557522E-5
0.00415,0.3174341793,-2.812469013E-5
0.0042,0.3174353693,-2.590731264E-5
0.00425,0.3174365732,-2.366563004E-5
0.0043,0.3174377895,-2.140185364E-5
0.00435,0.3174390172,-1.911821663E-5
0.0044,0.317440255,-1.681697186E-5
0.00445,0.3174415018,-1.450038962E-5
0.0045,0.3174427562,-1.217075537E-5
0.00455,0.317444017,-9.830367553E-6
0.0046,0.317445283,-7.481535275E-6
0.00465,0.317446553,-5.126576037E-6
0.0047,0.3174478257,-2.767813459E-6
0.00475,0.3174490998,-4.075749711E-7
0.0048,0.317450374,1.951810464E-6
0.00485,0.3174516472,4.308014672E-6
0.0049,0.3174529181,6.658712543E-6
0.00495,0.3174541854,9.001584349E-6
0.005,0.3174554478,1.133431801E-5
0.00505,0.3174567041,1.365461141E-5
0.0051,0.3174579531,1.596017462E-5
0.00515,0.3174591936,1.824873224E-5
0.0052,0.3174604242,2.051802554E-5
0.00525,0.3174616439,2.27658148E-5
0.0053,0.3174628513,2.498988144E-5
0.00535,0.3174640453,2.718803026E-5
0.0054,0.3174652248,2.935809159E-5
