"Time","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr"
0.0,0.3174483919,-4.163432266E-5
5.0E-5,0.3174495143,-3.960978523E-5
1.0E-4,0.3174506583,-3.754757968E-5
1.5E-4,0.3174518229,-3.544974011E-5
2.0E-4,0.3174530068,-3.331833584E-5
2.5E-4,0.317454209,-3.115546934E-5
3.0E-4,0.3174554282,-2.896327422E-5
3.5E-4,0.3174566633,-2.674391305E-5
4.0E-4,0.3174579129,-2.449957527E-5
4.5E-4,0.317459176,-2.223247502E-5
5.0E-4,0.3174604511,-1.994484898E-5
5.5E-4,0.3174617372,-1.763895414E-5
6.0E-4,0.3174630328,-1.531706557E-5
6.5E-4,0.3174643368,-1.298147418E-5
7.0E-4,0.3174656478,-1.06344845E-5
7.5E-4,0.3174669645,-8.278412334E-6
8.0E-4,0.3174682857,-5.915582538E-6
8.5E-4,0.3174696101,-3.548326699E-6
9.0E-4,0.3174709362,-1.178980835E-6
9.5E-4,0.3174722629,1.190116913E-6
0.001,0.3174735888,3.556628569E-6
0.00105,0.3174749127,5.918218667E-6
0.0011,0.3174762331,8.272556515E-6
0.00115,0.3174775488,1.061731852E-5
0.0012,0.3174788585,1.295019049E-5
0.00125,0.3174801609,1.52688699E-5
0.0013,0.3174814547,1.757106816E-5
0.00135,0.3174827387,1.985451292E-5
0.0014,0.3174840116,2.211695025E-5
0.00145,0.317485272,2.435614693E-5
0.0015,0.3174865188,2.656989262E-5
0.00155,0.3174877508,2.875600204E-5
0.0016,0.3174889667,3.091231715E-5
0.00165,0.3174901653,3.303670928E-5
0.0017,0.3174913455,3.512708123E-5
0.00175,0.317492506,3.718136932E-5
0.0018,0.3174936457,3.919754548E-5
0.00185,0.3174947636,4.117361921E-5
0.0019,0.3174958584,4.310763958E-5
0.00195,0.3174969292,4.499769713E-5
0.002,0.3174979748,4.684192579E-5
0.00205,0.3174989943,4.863850468E-5
0.0021,0.3174999865,5.038565996E-5
0.00215,0.3175009507,5.208166656E-5
0.0022,0.3175018857,5.372484989E-5
0.00225,0.3175027906,5.53135875E-5
0.0023,0.3175036646,5.68463107E-5
0.00235,0.3175045069,5.832150606E-5
0.0024,0.3175053165,5.973771698E-5
0.00245,0.3175060927,6.109354507E-5
0.0025,0.3175068346,6.238765158E-5
0.00255,0.3175075417,6.36187587E-5
0.0026,0.3175082131,6.478565081E-5
0.00265,0.3175088483,6.588717571E-5
0.0027,0.3175094465,6.692224575E-5
0.00275,0.3175100073,6.788983891E-5
0.0028,0.3175105299,6.878899981E-5
0.00285,0.317511014,6.961884063E-5
0.0029,0.317511459,7.037854204E-5
0.00295,0.3175118646,7.106735396E-5
0.003,0.3175122302,7.168459635E-5
0.00305,0.3175125556,7.222965983E-5
0.0031,0.3175128404,7.270200633E-5
0.00315,0.3175130843,7.31011696E-5
0.0032,0.3175132872,7.342675568E-5
0.00325,0.3175134487,7.367844325E-5
0.0033,0.3175135688,7.385598403E-5
0.00335,0.3175136473,7.395920296E-5
0.0034,0.3175136841,7.398799837E-5
0.00345,0.3175136793,7.394234212E-5
0.0035,0.3175136327,7.382227961E-5
0.00355,0.3175135445,7.362792973E-5
0.0036,0.3175134148,7.335948473E-5
0.00365,0.3175132436,7.301721007E-5
0.0037,0.3175130312,7.260144411E-5
0.00375,0.3175127777,7.21125978E-5
0.0038,0.3175124834,7.155115426E-5
0.00385,0.3175121486,7.091766833E-5
0.0039,0.3175117736,7.021276597E-5
0.00395,0.3175113588,6.94371437E-5
0.004,0.3175109046,6.859156785E-5
0.00405,0.3175104114,6.767687383E-5
0.0041,0.3175098798,6.669396533E-5
0.00415,0.3175093103,6.564381338E-5
0.0042,0.3175087033,6.452745539E-5
0.00425,0.3175080596,6.334599416E-5
0.0043,0.3175073798,6.210059675E-5
0.00435,0.3175066644,6.079249336E-5
0.0044,0.3175059143,5.942297607E-5
0.00445,0.3175051302,5.79933976E-5
0.0045,0.3175043128,5.650516994E-5
0.00455,0.317503463,5.495976297E-5
0.0046,0.3175025816,5.335870302E-5
0.00465,0.3175016694,5.17035713E-5
0.0047,0.3175007274,4.999600243E-5
0.00475,0.3174997565,4.823768274E-5
0.0048,0.3174987576,4.643034864E-5
0.00485,0.3174977318,4.45757849E-5
0.0049,0.3174966801,4.267582288E-5
0.00495,0.3174956034,4.073233872E-5
0.005,0.3174945029,3.874725147E-5
0.00505,0.3174933796,3.672252124E-5
0.0051,0.3174922346,3.46601472E-5
0.00515,0.3174910692,3.256216563E-5
