"Time","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr"
0.00625,0.3171820516,-2.508834891E-6
0.0063,0.317183216,-1.793707165E-7
0.00635,0.3171843831,2.154339704E-6
0.0064,0.3171855518,4.489993233E-6
0.00645,0.3171867208,6.825284746E-6
0.0065,0.3171878891,9.157909409E-6
0.00655,0.3171890556,1.148556497E-5
0.0066,0.3171902189,1.3805954E-5
0.00665,0.3171913781,1.611678619E-5
0.0067,0.3171925319,1.841578059E-5
0.00675,0.3171936792,2.07006679E-5
0.0068,0.3171948189,2.296919265E-5
0.00685,0.3171959499,2.52191155E-5
0.0069,0.317197071,2.744821539E-5
0.00695,0.3171981812,2.965429178E-5
0.007,0.3171992793,3.183516678E-5
0.00705,0.3172003643,3.398868735E-5
0.0071,0.3172014351,3.611272739E-5
0.00715,0.3172024906,3.820518988E-5
0.0072,0.3172035299,4.02640089E-5
0.00725,0.3172045517,4.228715171E-5
0.0073,0.3172055553,4.427262077E-5
0.00735,0.3172065395,4.621845568E-5
0.0074,0.3172075035,4.812273515E-5
0.00745,0.3172084462,4.998357886E-5
0.0075,0.3172093667,5.179914937E-5
0.00755,0.3172102641,5.35676539E-5
0.0076,0.3172111375,5.528734612E-5
0.00765,0.3172119862,5.695652788E-5
0.0077,0.3172128091,5.857355086E-5
0.00775,0.3172136056,6.013681825E-5
0.0078,0.3172143748,6.164478628E-5
0.00785,0.317215116,6.30959658E-5
0.0079,0.3172158284,6.448892372E-5
0.00795,0.3172165114,6.582228441E-5
0.008,0.3172171642,6.709473112E-5
0.00805,0.3172177863,6.830500724E-5
0.0081,0.3172183769,6.945191754E-5
0.00815,0.3172189356,7.053432937E-5
0.0082,0.3172194618,7.155117379E-5
0.00825,0.317219955,7.250144658E-5
0.0083,0.3172204146,7.33842093E-5
0.00835,0.3172208402,7.419859018E-5
0.0084,0.3172212315,7.494378496E-5
0.00845,0.3172215879,7.561905774E-5
0.0085,0.3172219092,7.622374168E-5
0.00855,0.3172221951,7.675723965E-5
0.0086,0.3172224453,7.721902484E-5
0.00865,0.3172226594,7.760864129E-5
0.0087,0.3172228374,7.792570428E-5
0.00875,0.317222979,7.816990082E-5
0.0088,0.3172230841,7.834098983E-5
0.00885,0.3172231526,7.843880249E-5
0.0089,0.3172231844,7.846324233E-5
0.00895,0.3172231796,7.841428538E-5
0.009,0.317223138,7.829198015E-5
0.00905,0.3172230598,7.809644761E-5
0.0091,0.317222945,7.782788104E-5
0.00915,0.3172227938,7.748654589E-5
0.0092,0.3172226062,7.707277945E-5
0.00925,0.3172223825,7.658699058E-5
0.0093,0.3172221229,7.602965924E-5
0.00935,0.3172218277,7.540133607E-5
0.0094,0.3172214971,7.470264183E-5
0.00945,0.3172211315,7.393426675E-5
0.0095,0.3172207312,7.309696989E-5
0.00955,0.3172202967,7.219157838E-5
0.0096,0.3172198283,7.121898656E-5
0.00965,0.3172193266,7.018015516E-5
0.0097,0.317218792,6.90761103E-5
0.00975,0.317218225,6.790794247E-5
0.0098,0.3172176263,6.66768055E-5
0.00985,0.3172169963,6.538391537E-5
0.0099,0.3172163358,6.4030549E-5
0.00995,0.3172156454,6.261804306E-5
0.01,0.3172149257,6.114779254E-5
0.01005,0.3172141776,5.962124945E-5
0.0101,0.3172134016,5.803992135E-5
0.01015,0.3172125986,5.640536987E-5
0.0102,0.3172117694,5.471920916E-5
0.01025,0.3172109148,5.298310426E-5
0.0103,0.3172100357,5.119876954E-5
0.01035,0.3172162593,6.361732156E-5
0.0104,0.3172548614,1.407703934E-4
0.01045,0.3173609843,3.528927923E-4
0.0105,0.3175606529,7.519536777E-4
0.01055,0.3178672865,0.001364691818
0.0106,0.3182868903,0.002203007417
0.01065,0.3188210243,0.003269907158
0.0107,0.3194685683,0.004563036901
0.01075,0.3202268098,0.006076859934
0.0108,0.3210921301,0.00780403048
0.01085,0.3220604339,0.009736252973
0.0109,0.3231274154,0.01186481556
0.01095,0.3242887222,0.0141809179
0.011,0.3255400549,0.01667586911
0.01105,0.3268772245,0.01934120404
0.0111,0.3282961854,0.02216874829
0.01115,0.329793052,0.02515065154
0.0112,0.3313641055,0.02827940109
0.01125,0.3330057951,0.03154782354
0.0113,0.3347147352,0.03494907938
0.01135,0.3364877004,0.03847665343
0.0114,0.3383216203,0.04212434295
0.01145,0.3402135725,0.04588624482
0.0115,0.3421607766,0.04975674215
0.01155,0.3441605869,0.05373049103
0.0116,0.3462104868,0.05780240754
0.01165,0.3483080818,0.06196765511
0.0117,0.3504510942,0.06622163244
0.01175,0.3526373566,0.07055996193
0.0118,0.3548648073,0.07497847863
0.01185,0.3571314843,0.07947321971
0.0119,0.3594355208,0.08404041446
0.01195,0.3617751406,0.08867647478
0.012,0.3641486531,0.09337798615
0.01205,0.3665544495,0.09814169906
0.0121,0.3689909987,0.1029645208
0.01215,0.3714568432,0.1078435078
0.0122,0.3739505958,0.1127758582
0.01225,0.376470936,0.1177589049
0.0123,0.3790166066,0.1227901088
0.01235,0.3815864107,0.1278670528
0.0124,0.3841792089,0.1329874355
