0 [1.00e+00, 1.00e+00]
29600 [1.30e+00, -7.70e-01]
29800 [1.31e+00, -7.76e-01]
30000 [1.31e+00, -7.81e-01]
30200 [1.31e+00, -7.86e-01]
30400 [1.31e+00, -7.90e-01]
30600 [1.31e+00, -7.94e-01]
30800 [1.31e+00, -7.97e-01]
31000 [1.31e+00, -7.99e-01]
31200 [1.32e+00, -8.01e-01]
31400 [1.32e+00, -8.02e-01]
31600 [1.32e+00, -8.04e-01]
31800 [1.32e+00, -8.03e-01]
32000 [1.32e+00, -8.04e-01]
32200 [1.32e+00, -8.03e-01]
32400 [1.33e+00, -8.02e-01]
32600 [1.33e+00, -7.99e-01]
32800 [1.33e+00, -7.98e-01]
33000 [1.33e+00, -7.98e-01]
33200 [1.34e+00, -7.95e-01]
33400 [1.34e+00, -7.95e-01]
33600 [1.34e+00, -7.94e-01]
33800 [1.34e+00, -7.93e-01]
34000 [1.34e+00, -7.92e-01]
34200 [1.35e+00, -7.90e-01]
34400 [1.35e+00, -7.89e-01]
34600 [1.35e+00, -7.88e-01]
34800 [1.35e+00, -7.88e-01]
35000 [1.36e+00, -7.88e-01]
35200 [1.36e+00, -7.88e-01]
35400 [1.36e+00, -7.88e-01]
35600 [1.36e+00, -7.88e-01]
35800 [1.37e+00, -7.88e-01]
36000 [1.37e+00, -7.88e-01]
36200 [1.37e+00, -7.88e-01]
36400 [1.37e+00, -7.89e-01]
36600 [1.38e+00, -7.90e-01]
36800 [1.38e+00, -7.90e-01]
37000 [1.38e+00, -7.92e-01]
37200 [1.38e+00, -7.93e-01]
37400 [1.36e+00, -8.07e-01]
37600 [1.36e+00, -8.05e-01]
37800 [1.36e+00, -8.04e-01]
38000 [1.36e+00, -8.05e-01]
38200 [1.36e+00, -8.06e-01]
38400 [1.36e+00, -8.07e-01]
38600 [1.37e+00, -8.08e-01]
38800 [1.37e+00, -8.10e-01]
39000 [1.37e+00, -8.11e-01]
39200 [1.37e+00, -8.12e-01]
39400 [1.37e+00, -8.13e-01]
39600 [1.37e+00, -8.14e-01]
39800 [1.37e+00, -8.14e-01]
40000 [1.37e+00, -8.15e-01]
40200 [1.37e+00, -8.16e-01]
40400 [1.37e+00, -8.16e-01]
40600 [1.37e+00, -8.17e-01]
40800 [1.38e+00, -8.18e-01]
41000 [1.38e+00, -8.19e-01]
41200 [1.38e+00, -8.19e-01]
41400 [1.38e+00, -8.20e-01]
41600 [1.38e+00, -8.21e-01]
41800 [1.38e+00, -8.22e-01]
42000 [1.39e+00, -8.23e-01]
42200 [1.39e+00, -8.23e-01]
42400 [1.39e+00, -8.24e-01]
42600 [1.39e+00, -8.25e-01]
42800 [1.39e+00, -8.27e-01]
43000 [1.40e+00, -8.29e-01]
43200 [1.40e+00, -8.30e-01]
43400 [1.40e+00, -8.32e-01]
43600 [1.40e+00, -8.35e-01]
43800 [1.40e+00, -8.36e-01]
44000 [1.40e+00, -8.36e-01]
44200 [1.41e+00, -8.38e-01]
44400 [1.41e+00, -8.40e-01]
44600 [1.41e+00, -8.40e-01]
44800 [1.41e+00, -8.42e-01]
45000 [1.41e+00, -8.44e-01]
45200 [1.41e+00, -8.44e-01]
45400 [1.42e+00, -8.46e-01]
45600 [1.42e+00, -8.48e-01]
45800 [1.42e+00, -8.50e-01]
46000 [1.42e+00, -8.51e-01]
46200 [1.42e+00, -8.53e-01]
46400 [1.42e+00, -8.55e-01]
46600 [1.43e+00, -8.56e-01]
46800 [1.43e+00, -8.57e-01]
47000 [1.43e+00, -8.59e-01]
47200 [1.43e+00, -8.60e-01]
47400 [1.43e+00, -8.62e-01]
47600 [1.43e+00, -8.63e-01]
47800 [1.41e+00, -8.38e-01]
48000 [1.41e+00, -8.40e-01]
48200 [1.41e+00, -8.42e-01]
48400 [1.41e+00, -8.45e-01]
48600 [1.41e+00, -8.48e-01]
48800 [1.41e+00, -8.51e-01]
49000 [1.41e+00, -8.54e-01]
49200 [1.41e+00, -8.57e-01]
49400 [1.41e+00, -8.61e-01]
49600 [1.41e+00, -8.65e-01]
49800 [1.41e+00, -8.68e-01]
50000 [1.41e+00, -8.72e-01]
50200 [1.41e+00, -8.76e-01]
50400 [1.41e+00, -8.79e-01]
50600 [1.41e+00, -8.82e-01]
50800 [1.42e+00, -8.85e-01]
51000 [1.42e+00, -8.87e-01]
51200 [1.42e+00, -8.89e-01]
51400 [1.42e+00, -8.91e-01]
51600 [1.42e+00, -8.91e-01]
51800 [1.42e+00, -8.92e-01]
52000 [1.42e+00, -8.92e-01]
52200 [1.42e+00, -8.91e-01]
52400 [1.42e+00, -8.89e-01]
52600 [1.42e+00, -8.89e-01]
52800 [1.43e+00, -8.87e-01]
53000 [1.43e+00, -8.87e-01]
53200 [1.43e+00, -8.85e-01]
53400 [1.43e+00, -8.84e-01]
53600 [1.43e+00, -8.83e-01]
53800 [1.43e+00, -8.82e-01]
54000 [1.43e+00, -8.81e-01]
54200 [1.43e+00, -8.80e-01]
54400 [1.43e+00, -8.81e-01]
54600 [1.44e+00, -8.78e-01]
54800 [1.44e+00, -8.78e-01]
55000 [1.44e+00, -8.78e-01]
55200 [1.44e+00, -8.78e-01]
55400 [1.44e+00, -8.79e-01]
55600 [1.44e+00, -8.78e-01]
55800 [1.44e+00, -8.79e-01]
56000 [1.44e+00, -8.80e-01]
56200 [1.45e+00, -8.81e-01]
56400 [1.45e+00, -8.81e-01]
56600 [1.45e+00, -8.82e-01]
56800 [1.45e+00, -8.84e-01]
57000 [1.45e+00, -8.84e-01]
57200 [1.45e+00, -8.86e-01]
57400 [1.45e+00, -8.85e-01]
57600 [1.45e+00, -8.87e-01]
57800 [1.45e+00, -8.90e-01]
58000 [1.46e+00, -8.91e-01]
58200 [1.46e+00, -8.92e-01]
58400 [1.46e+00, -8.94e-01]
58600 [1.46e+00, -8.94e-01]
58800 [1.46e+00, -8.96e-01]
59000 [1.45e+00, -8.41e-01]
59200 [1.45e+00, -8.39e-01]
59400 [1.45e+00, -8.40e-01]
59600 [1.45e+00, -8.40e-01]
59800 [1.45e+00, -8.41e-01]
60000 [1.45e+00, -8.42e-01]
60200 [1.45e+00, -8.43e-01]
60400 [1.45e+00, -8.44e-01]
60600 [1.45e+00, -8.45e-01]
60800 [1.45e+00, -8.46e-01]
61000 [1.45e+00, -8.47e-01]
61200 [1.45e+00, -8.48e-01]
61400 [1.46e+00, -8.49e-01]
61600 [1.46e+00, -8.51e-01]
61800 [1.46e+00, -8.53e-01]
62000 [1.46e+00, -8.55e-01]
62200 [1.46e+00, -8.58e-01]
62400 [1.46e+00, -8.61e-01]
62600 [1.46e+00, -8.64e-01]
62800 [1.46e+00, -8.67e-01]
63000 [1.46e+00, -8.69e-01]
63200 [1.46e+00, -8.73e-01]
63400 [1.46e+00, -8.77e-01]
63600 [1.46e+00, -8.79e-01]
63800 [1.46e+00, -8.83e-01]
64000 [1.46e+00, -8.86e-01]
64200 [1.46e+00, -8.88e-01]
64400 [1.46e+00, -8.91e-01]
64600 [1.46e+00, -8.95e-01]
64800 [1.47e+00, -8.96e-01]
65000 [1.47e+00, -8.98e-01]
65200 [1.47e+00, -9.01e-01]
65400 [1.47e+00, -9.03e-01]
65600 [1.47e+00, -9.04e-01]
65800 [1.47e+00, -9.06e-01]
66000 [1.47e+00, -9.08e-01]
66200 [1.47e+00, -9.10e-01]
66400 [1.47e+00, -9.11e-01]
66600 [1.47e+00, -9.12e-01]
66800 [1.47e+00, -9.14e-01]
67000 [1.47e+00, -9.16e-01]
67200 [1.47e+00, -9.17e-01]
67400 [1.48e+00, -9.19e-01]
67600 [1.48e+00, -9.20e-01]
67800 [1.48e+00, -9.22e-01]
68000 [1.48e+00, -9.24e-01]
68200 [1.48e+00, -9.25e-01]
68400 [1.48e+00, -9.27e-01]
68600 [1.48e+00, -9.28e-01]
68800 [1.48e+00, -9.40e-01]
69000 [1.47e+00, -9.79e-01]
69200 [1.47e+00, -9.75e-01]
69400 [1.47e+00, -9.73e-01]
69600 [1.47e+00, -9.74e-01]
69800 [1.47e+00, -9.75e-01]
70000 [1.47e+00, -9.77e-01]
70200 [1.47e+00, -9.79e-01]
70400 [1.47e+00, -9.81e-01]
70600 [1.47e+00, -9.83e-01]
70800 [1.47e+00, -9.85e-01]
