0 [1.00e+00, 1.00e+00]
98400 [1.50e+00, -1.02e+00]
98600 [1.50e+00, -1.02e+00]
98800 [1.50e+00, -1.02e+00]
99000 [1.50e+00, -1.02e+00]
99200 [1.50e+00, -1.02e+00]
99400 [1.50e+00, -1.02e+00]
99600 [1.50e+00, -1.03e+00]
99800 [1.50e+00, -1.03e+00]
100000 [1.50e+00, -1.03e+00]
100200 [1.50e+00, -1.03e+00]
100400 [1.50e+00, -1.03e+00]
100600 [1.51e+00, -1.03e+00]
100800 [1.51e+00, -1.04e+00]
101000 [1.51e+00, -1.04e+00]
101200 [1.51e+00, -1.04e+00]
101400 [1.51e+00, -1.04e+00]
101600 [1.51e+00, -1.04e+00]
101800 [1.51e+00, -1.04e+00]
102000 [1.51e+00, -1.05e+00]
102200 [1.51e+00, -1.05e+00]
102400 [1.51e+00, -1.05e+00]
102600 [1.51e+00, -1.05e+00]
102800 [1.51e+00, -1.05e+00]
103000 [1.51e+00, -1.05e+00]
103200 [1.51e+00, -1.05e+00]
103400 [1.51e+00, -1.05e+00]
103600 [1.51e+00, -1.05e+00]
