0 [1.00e+00, 1.00e+00]
32000 [6.69e-01, 1.00e-01]
32200 [6.69e-01, 9.97e-02]
32400 [6.69e-01, 9.82e-02]
32600 [6.69e-01, 9.76e-02]
32800 [6.69e-01, 9.58e-02]
33000 [6.69e-01, 9.45e-02]
33200 [6.69e-01, 9.44e-02]
33400 [6.69e-01, 9.18e-02]
33600 [6.69e-01, 9.18e-02]
33800 [6.69e-01, 8.94e-02]
34000 [6.69e-01, 8.72e-02]
34200 [6.69e-01, 8.67e-02]
34400 [6.69e-01, 8.46e-02]
34600 [6.69e-01, 8.32e-02]
34800 [6.69e-01, 8.08e-02]
35000 [6.69e-01, 7.97e-02]
35200 [6.69e-01, 7.77e-02]
35400 [6.69e-01, 7.55e-02]
35600 [6.69e-01, 7.42e-02]
35800 [6.69e-01, 6.92e-02]
36000 [6.69e-01, 6.90e-02]
36200 [6.69e-01, 6.64e-02]
36400 [6.69e-01, 6.43e-02]
36600 [6.70e-01, 6.20e-02]
36800 [6.70e-01, 5.84e-02]
37000 [6.70e-01, 5.59e-02]
37200 [6.70e-01, 5.41e-02]
37400 [6.70e-01, 5.07e-02]
37600 [6.70e-01, 4.87e-02]
37800 [6.70e-01, 4.60e-02]
38000 [6.70e-01, 4.32e-02]
38200 [6.70e-01, 4.02e-02]
38400 [6.70e-01, 3.79e-02]
38600 [6.31e-01, 1.00e-01]
38800 [6.31e-01, 1.00e-01]
39000 [6.31e-01, 1.00e-01]
39200 [6.31e-01, 1.00e-01]
39400 [6.31e-01, 1.00e-01]
39600 [6.31e-01, 1.00e-01]
39800 [6.31e-01, 1.00e-01]
40000 [6.31e-01, 1.00e-01]
40200 [6.31e-01, 1.00e-01]
40400 [6.31e-01, 1.00e-01]
40600 [6.31e-01, 1.00e-01]
40800 [6.31e-01, 1.00e-01]
41000 [6.31e-01, 1.00e-01]
41200 [6.31e-01, 1.00e-01]
41400 [6.31e-01, 1.00e-01]
41600 [6.12e-01, 7.04e-02]
41800 [6.12e-01, 7.04e-02]
42000 [6.12e-01, 7.04e-02]
42200 [6.12e-01, 7.04e-02]
42400 [6.12e-01, 7.04e-02]
42600 [6.12e-01, 7.05e-02]
42800 [6.12e-01, 7.05e-02]
43000 [6.12e-01, 7.05e-02]
43200 [6.12e-01, 7.03e-02]
43400 [6.12e-01, 7.03e-02]
43600 [6.12e-01, 7.00e-02]
43800 [6.12e-01, 7.00e-02]
