"Time","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1"
0.0,0.936100763,3.680092297,0.8883311925,1.782908329,2.998018003,1.172711183,0.1256836574,0.03868478689
0.0064,0.9268618091,3.678009241,0.8919100541,1.781235357,2.997758467,1.172752567,0.1254634704,0.03865855795
0.0128,0.9278673871,3.675028925,0.8892405474,1.779706859,2.997238792,1.173127054,0.1254299434,0.03862026305
0.0192,0.9371248081,3.676585593,0.8852767397,1.781078976,2.997387701,1.17316271,0.1256439218,0.03864046613
0.0256,0.9383344966,3.679735258,0.886846582,1.782840884,2.99793192,1.172804445,0.1257222311,0.03867977059
0.032,0.9293159516,3.679100988,0.8913480447,1.781973052,2.997916954,1.172679431,0.1255315437,0.03867281925
0.0384,0.926013188,3.675575649,0.8906398312,1.779883692,2.997356749,1.173017903,0.1254027093,0.03862694199
0.0448,0.9344290726,3.67565449,0.8860961381,1.780427919,2.99725866,1.173211406,0.1255732075,0.03862884765
0.0512,0.9394111953,3.678965013,0.8857059814,1.782484689,2.997783319,1.172923545,0.125730791,0.03866987203
0.0576,0.9324091734,3.679845556,0.890184455,1.782560633,2.998012585,1.172659487,0.1256059487,0.03868223689
0.064,0.9255001711,3.676550006,0.8916125738,1.780370464,2.997528117,1.172891733,0.1254101397,0.0386394428
0.0704,0.9313273412,3.675074178,0.8873828653,1.779938023,2.997199317,1.173205973,0.1255003451,0.03862132331
0.0768,0.9391518409,3.67793176,0.8851160407,1.781914177,2.997602061,1.173045026,0.1257079966,0.0386570353
0.0832,0.9354841762,3.680105071,0.8886796331,1.782880041,2.998026494,1.172696027,0.1256715857,0.03868507452
0.0896,0.9264620615,3.677741834,0.8919374132,1.781067193,2.997717837,1.172774743,0.125450745,0.03865504346
0.096,0.9284235397,3.6749778,0.888900816,1.779713403,2.997222441,1.173146645,0.125440187,0.03861970433
0.1024,0.9376153356,3.676822295,0.8851749339,1.7812333,2.997423462,1.173145372,0.1256579289,0.0386433859
0.1088,0.9379271174,3.679854573,0.8871559487,1.782882694,2.997957318,1.172780719,0.1257160982,0.03868136971
0.1152,0.928693304,3.678881342,0.8915318404,1.781816765,2.997886184,1.172691443,0.1255153176,0.0386699718
0.1216,0.9263203568,3.67541179,0.8903560072,1.779815594,2.997324884,1.173044507,0.1254058773,0.03862489117
0.128,0.9350830389,3.675836986,0.8858669234,1.780562864,2.997282043,1.173205059,0.125589622,0.03863115018
0.1344,0.9392848454,3.679164931,0.8859175335,1.78258555,2.997820344,1.172896017,0.1257316373,0.03867239852
0.1408,0.9316998921,3.67971897,0.8904832302,1.782450089,2.997997997,1.172658964,0.1255896664,0.03868068146
0.1472,0.9254861872,3.676305865,0.8914463656,1.780239472,2.99748708,1.172919919,0.1254054381,0.0386362768
0.1536,0.9320216307,3.675164921,0.8870674341,1.780027119,2.997205592,1.17321202,0.1255159587,0.03862253924
0.16,0.9393255649,3.678174904,0.8851927466,1.78205451,2.997643384,1.173019067,0.1257156454,0.03866003427
0.1664,0.9348357188,3.680092279,0.889027265,1.782835848,2.998030815,1.172683286,0.1256584521,0.03868503534
0.1728,0.9261261811,3.677471743,0.8919280431,1.780901709,2.997676131,1.172798614,0.1254392228,0.0386514956
