,Time,I,O,err
73,0.00365,6.879942114e-06,-9.819895596e-05,7.2460699029539e-10
74,0.0037,1.441374149e-05,-9.80103448e-05,1.7022449994713584e-09
75,0.00375,2.193339944e-05,-9.782189901e-05,2.654720047089165e-09
76,0.0038,2.943145331e-05,-9.76338056e-05,3.5916550467259e-09
77,0.00385,3.69004929e-05,-9.744625046e-05,4.5164499605510056e-09
78,0.0039,4.433316199e-05,-9.725941831e-05,5.345994891128164e-09
79,0.00395,5.172207196e-05,-9.707349486e-05,6.2559800070340066e-09
80,0.004,5.905991367e-05,-9.688866404e-05,7.311835128250704e-09
81,0.00405,6.633946578e-05,-9.670510775e-05,8.185389934432796e-09
82,0.0041,7.355349708e-05,-9.65230083e-05,9.016039870853726e-09
83,0.00415,8.069487165e-05,-9.634254583e-05,9.905825119373157e-09
84,0.0042,8.775656296e-05,-9.61638979e-05,1.0733980067203358e-08
85,0.00425,9.473155586e-05,-9.598724197e-05,1.1587929983625234e-08
86,0.0043,0.0001016129514,-9.581275277e-05,1.2510700034967792e-08
87,0.00435,0.0001083939808,-9.564060195e-05,1.3415399919853438e-08
88,0.0044,0.0001150679071,-9.547096052e-05,1.412855002392785e-08
89,0.00445,0.0001216281299,-9.530399624e-05,1.49149500141936e-08
90,0.0045,0.0001280681989,-9.513987331e-05,1.5774449908627364e-08
91,0.00455,0.0001343817154,-9.497875477e-05,1.6557700018363097e-08
92,0.0046,0.0001405624365,-9.482079994e-05,1.7418249983417594e-08
93,0.00465,0.0001466042882,-9.466616407e-05,1.811910005887485e-08
94,0.0047,0.0001525012668,-9.451500078e-05,1.870840001189436e-08
95,0.00475,0.0001582475429,-9.436745951e-05,1.9471449977121608e-08
96,0.0048,0.0001638374732,-9.422368519e-05,2.018660002220743e-08
97,0.00485,0.0001692655027,-9.408382066e-05,2.0876349943448752e-08
98,0.0049,0.0001745262669,-9.394800416e-05,2.1533450023959733e-08
99,0.00495,0.0001796146043,-9.381636896e-05,2.2127150012003077e-08
100,0.005,0.0001845254574,-9.368904588e-05,2.275369996628321e-08
101,0.00505,0.0001892539748,-9.35661607e-05,2.3362400064421557e-08
102,0.0051,0.0001937955229,-9.344783388e-05,2.3886450076573973e-08
103,0.00515,0.0001981455865,-9.333418302e-05,2.441825000358555e-08
104,0.0052,0.0002022998702,-9.322532036e-05,2.501009995024145e-08
105,0.00525,0.00020625431,-9.312135244e-05,2.5405000004738443e-08
106,0.0053,0.0002100049728,-9.302238262e-05,2.5861400049015035e-08
107,0.00535,0.0002135481575,-9.292850859e-05,2.6428749955002828e-08
108,0.0054,0.0002168804058,-9.283982203e-05,2.67528999066749e-08
109,0.00545,0.0002199984013,-9.275641115e-05,2.7100650035064358e-08
110,0.0055,0.0002228990698,-9.267835822e-05,2.7534899999393653e-08
111,0.00555,0.0002255795897,-9.260573924e-05,2.7844849894570478e-08
112,0.0056,0.0002280372904,-9.253862651e-05,2.812020006323461e-08
113,0.00565,0.0002302697516,-9.247708614e-05,2.8400800113808147e-08
114,0.0057,0.0002322748137,-9.242117778e-05,2.8656850010804966e-08
115,0.00575,0.0002340504746,-9.237095719e-05,2.8887299953787512e-08
116,0.0058,0.0002355949895,-9.232647375e-05,2.906974991767012e-08
117,0.00585,0.0002369068797,-9.228777022e-05,2.9214850021477314e-08
118,0.0059,0.000237984829,-9.225488534e-05,2.9389500003345476e-08
119,0.00595,0.0002388277832,-9.222785133e-05,2.946659991042485e-08
120,0.006,0.0002394349553,-9.220669374e-05,2.9502650036416882e-08
121,0.00605,0.0002398057077,-9.219143442e-05,2.9653850059621796e-08
122,0.0061,0.0002399396845,-9.218208819e-05,2.9642249947854377e-08
123,0.00615,0.0002398368405,-9.217866208e-05,2.9545249956915588e-08
124,0.0062,0.0002394972742,-9.218115956e-05,2.9487100002432358e-08
125,0.00625,0.0002389213079,-9.218957848e-05,2.9478950002348372e-08
126,0.0063,0.0002381095283,-9.220391009e-05,2.946415004079911e-08
127,0.00635,0.0002370627799,-9.222413915e-05,2.928995004804376e-08
128,0.0064,0.0002357820715,-9.22502463e-05,2.9035749962366686e-08
129,0.00645,0.0002342686787,-9.228220548e-05,2.8914349999367706e-08
130,0.0065,0.0002325241442,-9.231998394e-05,2.8772100092418554e-08
131,0.00655,0.0002305501711,-9.236354484e-05,2.8435550013814273e-08
132,0.0066,0.0002283487192,-9.24128449e-05,2.818459991131908e-08
133,0.00665,0.00022592201,-9.246783425e-05,2.787999997967e-08
134,0.0067,0.0002232724195,-9.252845908e-05,2.7459750115465045e-08
135,0.00675,0.0002204025738,-9.259465928e-05,2.716190000717246e-08
136,0.0068,0.000217315353,-9.266636833e-05,2.6901499924165614e-08
137,0.00685,0.0002140137839,-9.274351595e-05,2.6416949966499154e-08
138,0.0069,0.0002105011347,-9.282602574e-05,2.5917350056229096e-08
139,0.00695,0.0002067809185,-9.291381512e-05,2.5534250030134417e-08
140,0.007,0.0002028567854,-9.300679798e-05,2.5042699907914037e-08
141,0.00705,0.0001987326163,-9.310488234e-05,2.4533150015833283e-08
142,0.0071,0.0001944125259,-9.320797029e-05,2.3987950100671368e-08
143,0.00715,0.0001899007544,-9.331596066e-05,2.3452200031796877e-08
144,0.0072,0.0001852017606,-9.342874673e-05,2.2830299956956568e-08
145,0.00725,0.0001803202242,-9.354621611e-05,2.2212099891599085e-08
146,0.0073,0.0001752609374,-9.366825352e-05,2.1643700048781106e-08
147,0.00735,0.0001700288969,-9.379473841e-05,2.1023450028165996e-08
148,0.0074,0.0001646293061,-9.392554496e-05,2.0378049937590237e-08
149,0.00745,0.0001590674658,-9.406054476e-05,1.9632899991503527e-08
150,0.0075,0.0001533488661,-9.419960455e-05,1.890804996428075e-08
151,0.00755,0.0001474791881,-9.434258615e-05,1.8194050037390053e-08
152,0.0076,0.0001414641937,-9.448934922e-05,1.7496850040002454e-08
153,0.00765,0.0001353098177,-9.463974895e-05,1.6708850007155635e-08
154,0.0077,0.0001290221685,-9.479363603e-05,1.58842500316142e-08
155,0.00775,0.0001226074177,-9.495085943e-05,1.513384994102432e-08
156,0.0078,0.0001160718918,-9.511126409e-05,1.4295900021936425e-08
157,0.00785,0.0001094220727,-9.527469089e-05,1.351135002795531e-08
158,0.0079,0.0001026644869,-9.544097946e-05,1.2778449888506405e-08
159,0.00795,9.580579644e-05,-9.560996585e-05,1.1865720078805403e-08
160,0.008,8.885279957e-05,-9.578148254e-05,1.0919785048413289e-08
161,0.00805,8.181231932e-05,-9.595536123e-05,1.0092159922862887e-08
162,0.0081,7.46912945e-05,-9.613143056e-05,9.282250002049658e-09
163,0.00815,6.749677986e-05,-9.630951608e-05,8.36493003380026e-09
164,0.0082,6.02358344e-05,-9.648944306e-05,7.41469999895189e-09
165,0.00825,5.291561225e-05,-9.667103422e-05,6.56112491984398e-09
166,0.0083,4.554336262e-05,-9.685410973e-05,5.681310034401366e-09
167,0.00835,3.812631785e-05,-9.703848998e-05,4.756425008196896e-09
168,0.0084,3.067178421e-05,-9.722399335e-05,3.849604978973381e-09
169,0.00845,2.318714168e-05,-9.741043618e-05,2.8733401010068438e-09
170,0.0085,1.567973182e-05,-9.759763559e-05,1.9901600224574156e-09
171,0.00855,8.156948577e-06,-9.778540722e-05,1.0149883889094824e-09
172,0.0086,6.262359828e-07,-9.797356524e-05,1.114913630168024e-10
173,0.00865,-6.905043049e-06,-9.816192571e-05,-7.247244245695006e-10
174,0.0087,-1.442946723e-05,-9.8350303e-05,-1.7938649302974563e-09
175,0.00875,-2.193954769e-05,-9.853850962e-05,-2.7288449616288957e-09
176,0.0088,-2.942790985e-05,-9.872636077e-05,-3.5824250263320756e-09
177,0.00885,-3.68872046e-05,-9.891367208e-05,-4.494800021331152e-09
178,0.0089,-4.431008062e-05,-9.910025895e-05,-5.362809989053335e-09
179,0.00895,-5.168919749e-05,-9.928593687e-05,-6.306244996687194e-09
180,0.009,-5.901732625e-05,-9.947052392e-05,-7.228125055089296e-09
181,0.00905,-6.628725175e-05,-9.965383837e-05,-8.088375086021116e-09
182,0.0091,-7.34917789e-05,-9.983569879e-05,-8.831949974748982e-09
183,0.00915,-8.062384472e-05,-0.0001000159269,-9.802359976236047e-09
184,0.0092,-8.767642682e-05,-0.0001001943452,-1.0918409947859031e-08
185,0.00925,-9.464254354e-05,-0.0001003707771,-1.2066769923980286e-08
186,0.0093,-0.000101515366,-0.0001005450496,-1.2423000100413722e-08
187,0.00935,-0.0001082881265,-0.0001007169912,-1.3113249977200758e-08
188,0.0094,-0.0001149541182,-0.0001008864315,-1.418409990849856e-08
189,0.00945,-0.000121506807,-0.0001010532045,-1.4778500086014279e-08
190,0.0095,-0.0001279397397,-0.0001012171459,-1.586985005864669e-08
191,0.00955,-0.000134246543,-0.0001013780933,-1.624650003547931e-08
192,0.0096,-0.0001404210356,-0.000101535889,-1.661779993602716e-08
193,0.00965,-0.0001464571354,-0.0001016903775,-1.841769993980724e-08
194,0.0097,-0.000152348859,-0.0001018414056,-1.965450003010155e-08
195,0.00975,-0.0001580904323,-0.0001019888254,-1.9091149985536737e-08
196,0.0098,-0.0001636761985,-0.0001021324917,-1.9999250036421834e-08
197,0.00985,-0.0001691006159,-0.0001022722618,-2.105795003301547e-08
198,0.0099,-0.0001743583695,-0.0001024079989,-2.1509750030169333e-08
199,0.00995,-0.0001794442772,-0.0001025395691,-2.1838599977876128e-08
200,0.01,-0.0001843532883,-0.0001026668419,-2.2769149959564472e-08
201,0.01005,-0.0001890805937,-0.0001027896924,-2.154684998305345e-08
