"Time","Subsystem #1|CTLs|Vars|PGEN","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|Machines|M1|LOADANG1","Subsystem #1|Machines|M1|PMACH","Subsystem #1|Machines|M1|W"
0.0,1.43208832E-9,0.0,0.007207557059,1.432030777E-9,314.9380308
5.0E-5,1.432088296E-9,0.0,0.00720747088,1.432030798E-9,314.9380156
1.0E-4,1.432088271E-9,0.0,0.007207384729,1.43203082E-9,314.9380003
1.5E-4,1.432088247E-9,0.0,0.007207298564,1.432030841E-9,314.937985
2.0E-4,1.432088223E-9,0.0,0.007207212419,1.432030863E-9,314.9379698
2.5E-4,1.432088198E-9,0.0,0.007207126269,1.432030885E-9,314.9379545
3.0E-4,1.432088174E-9,0.0,0.007207040129,1.432030906E-9,314.9379392
3.5E-4,1.43208815E-9,0.0,0.007206953993,1.432030928E-9,314.937924
4.0E-4,1.432088125E-9,0.0,0.007206867859,1.432030949E-9,314.9379087
4.5E-4,1.432088101E-9,0.0,0.007206781737,1.432030971E-9,314.9378934
5.0E-4,1.432088077E-9,0.0,0.007206695608,1.432030993E-9,314.9378782
5.5E-4,1.432088053E-9,0.0,0.0072066095,1.432031015E-9,314.9378629
6.0E-4,1.432088029E-9,0.0,0.007206523378,1.432031036E-9,314.9378476
6.5E-4,1.432088004E-9,0.0,0.007206437284,1.432031058E-9,314.9378323
7.0E-4,1.43208798E-9,0.0,0.007206351167,1.43203108E-9,314.9378171
7.5E-4,1.432087956E-9,0.0,0.007206265087,1.432031102E-9,314.9378018
8.0E-4,1.432087932E-9,0.0,0.007206178975,1.432031123E-9,314.9377865
8.5E-4,1.432087908E-9,0.0,0.00720609291,1.432031146E-9,314.9377713
9.0E-4,1.432087884E-9,0.0,0.007206006804,1.432031167E-9,314.937756
9.5E-4,1.43208786E-9,0.0,0.007205920752,1.43203119E-9,314.9377407
0.001,1.432087836E-9,0.0,0.007205834652,1.43203121E-9,314.9377255
0.00105,1.432087812E-9,0.0,0.007205748615,1.432031234E-9,314.9377102
0.0011,1.432087788E-9,0.0,0.00720566252,1.432031254E-9,314.9376949
0.00115,1.432087764E-9,0.0,0.007205576497,1.432031278E-9,314.9376797
0.0012,1.432087741E-9,0.0,0.007205490408,1.432031298E-9,314.9376644
0.00125,1.432087717E-9,0.0,0.007205404399,1.432031322E-9,314.9376491
0.0013,1.432087693E-9,0.0,0.007205318315,1.432031342E-9,314.9376339
0.00135,1.432087669E-9,0.0,0.00720523232,1.432031366E-9,314.9376186
0.0014,1.432087646E-9,0.0,0.007205146243,1.432031386E-9,314.9376033
0.00145,1.432087622E-9,0.0,0.007205060261,1.43203141E-9,314.9375881
0.0015,1.432087598E-9,0.0,0.00720497419,1.43203143E-9,314.9375728
0.00155,1.432087574E-9,0.0,0.007204888222,1.432031455E-9,314.9375575
0.0016,1.432087551E-9,0.0,0.007204802157,1.432031475E-9,314.9375422
0.00165,1.432087527E-9,0.0,0.007204716203,1.432031499E-9,314.937527
0.0017,1.432087504E-9,0.0,0.007204630143,1.432031519E-9,314.9375117
0.00175,1.43208748E-9,0.0,0.007204544203,1.432031544E-9,314.9374964
0.0018,1.432087457E-9,0.0,0.00720445815,1.432031563E-9,314.9374812
0.00185,1.432087433E-9,0.0,0.007204372224,1.432031588E-9,314.9374659
0.0019,1.43208741E-9,0.0,0.007204286176,1.432031608E-9,314.9374506
0.00195,1.432087386E-9,0.0,0.007204200263,1.432031633E-9,314.9374354
