,Time,Pe,Tm,delta,Pt,w,Te
0,0.0,-0.001771165881,0.0,-0.0007096522194,-0.001771130221,1.000507233121019,0.0
1,5e-05,-0.001771165859,0.0,-0.0007096488901,-0.001771130198,1.000507233121019,0.0
2,0.0001,-0.001771165837,0.0,-0.0007096595616,-0.001771130176,1.000507233121019,0.0
3,0.00015,-0.001771165814,0.0,-0.0007096522249,-0.001771130155,1.000507233121019,0.0
4,0.0002,-0.001771165792,0.0,-0.0007096489034,-0.001771130132,1.000507233121019,0.0
5,0.00025,-0.00177116577,0.0,-0.0007096595672,-0.00177113011,1.000507233121019,0.0
6,0.0003,-0.001771165748,0.0,-0.0007096522376,-0.001771130089,1.000507233121019,0.0
7,0.00035,-0.001771165726,0.0,-0.0007096489091,-0.001771130067,1.000507233121019,0.0
8,0.0004,-0.001771165703,0.0,-0.0007096595792,-0.001771130045,1.000507233121019,0.0
9,0.00045,-0.001771165681,0.0,-0.0007096522432,-0.001771130024,1.000507233121019,0.0
10,0.0005,-0.001771165659,0.0,-0.0007096489203,-0.001771130001,1.000507233121019,0.0
11,0.00055,-0.001771165637,0.0,-0.0007096595848,-0.00177112998,1.000507233121019,0.0
12,0.0006,-0.001771165615,0.0,-0.0007096522538,-0.001771129959,1.000507233121019,0.0
13,0.00065,-0.001771165593,0.0,-0.0007096489259,-0.001771129936,1.000507233121019,0.0
14,0.0007,-0.00177116557,0.0,-0.0007096595948,-0.001771129914,1.000507233121019,0.0
15,0.00075,-0.001771165548,0.0,-0.0007096522592,-0.001771129893,1.000507233121019,0.0
16,0.0008,-0.001771165526,0.0,-0.0007096489353,-0.001771129871,1.000507233121019,0.0
17,0.00085,-0.001771165504,0.0,-0.0007096596001,-0.001771129849,1.000507233121019,0.0
18,0.0009,-0.001771165482,0.0,-0.0007096522681,-0.001771129828,1.000507233121019,0.0
19,0.00095,-0.00177116546,0.0,-0.0007096489404,-0.001771129806,1.000507233121019,0.0
20,0.001,-0.001771165437,0.0,-0.0007096596084,-0.001771129784,1.000507233121019,0.0
21,0.00105,-0.001771165415,0.0,-0.0007096522731,-0.001771129763,1.000507233121019,0.0
22,0.0011,-0.001771165393,0.0,-0.0007096489483,-0.001771129741,1.000507233121019,0.0
23,0.00115,-0.001771165371,0.0,-0.0007096596132,-0.001771129719,1.000507233121019,0.0
24,0.0012,-0.001771165349,0.0,-0.0007096522804,-0.001771129698,1.000507233121019,0.0
25,0.00125,-0.001771165327,0.0,-0.0007096489529,-0.001771129676,1.000507233121019,0.0
26,0.0013,-0.001771165305,0.0,-0.0007096596201,-0.001771129654,1.000507233121019,0.0
