"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|udA8"
0.0055,2.120106548E-4,-9.223998881E-5
0.00555,2.155341328E-4,-9.214655755E-5
0.0056,2.188447027E-4,-9.205836357E-5
0.00565,2.219390698E-4,-9.197549459E-5
0.0057,2.248141832E-4,-9.189803234E-5
0.00575,2.274672463E-4,-9.182605224E-5
0.0058,2.298956157E-4,-9.175962597E-5
0.00585,2.320969003E-4,-9.169881895E-5
0.0059,2.340689709E-4,-9.164369011E-5
0.00595,2.358098585E-4,-9.159429444E-5
0.006,2.373178524E-4,-9.155068049E-5
0.00605,2.385915099E-4,-9.151289018E-5
0.0061,2.39629553E-4,-9.148096134E-5
0.00615,2.404309667E-4,-9.145492524E-5
0.0062,2.409950071E-4,-9.143480641E-5
0.00625,2.413210981E-4,-9.142062518E-5
0.0063,2.414089287E-4,-9.141239529E-5
0.00635,2.412584585E-4,-9.14101237E-5
0.0064,2.408697994E-4,-9.141381358E-5
0.00645,2.402433456E-4,-9.142346101E-5
0.0065,2.393798028E-4,-9.143905429E-5
0.00655,2.38280021E-4,-9.146057809E-5
0.0066,2.369450736E-4,-9.148801146E-5
0.00665,2.353762966E-4,-9.152132687E-5
0.0067,2.335752817E-4,-9.156049035E-5
0.00675,2.315437824E-4,-9.160546384E-5
0.0068,2.292838152E-4,-9.165620268E-5
0.00685,2.267976591E-4,-9.171265556E-5
0.0069,2.240877487E-4,-9.177476726E-5
0.00695,2.211567698E-4,-9.184247617E-5
0.007,2.180076626E-4,-9.19157143E-5
0.00705,2.146435155E-4,-9.199440984E-5
0.0071,2.110676586E-4,-9.207848487E-5
0.00715,2.072836672E-4,-9.216785527E-5
0.0072,2.032952548E-4,-9.226243334E-5
0.00725,1.991063658E-4,-9.236212555E-5
0.0073,1.947211789E-4,-9.246683238E-5
0.00735,1.901439986E-4,-9.257645107E-5
0.0074,1.853793486E-4,-9.269087328E-5
0.00745,1.804319734E-4,-9.280998502E-5
0.0075,1.753067304E-4,-9.293366937E-5
0.00755,1.700086813E-4,-9.306180415E-5
0.0076,1.64543095E-4,-9.319426192E-5
0.00765,1.589153374E-4,-9.333091263E-5
0.0077,1.531309639E-4,-9.347162139E-5
0.00775,1.471957204E-4,-9.36162484E-5
0.0078,1.411154338E-4,-9.376465167E-5
0.00785,1.348961032E-4,-9.391668479E-5
0.0079,1.285439012E-4,-9.407219685E-5
0.00795,1.220650634E-4,-9.423103518E-5
0.008,1.154659793E-4,-9.439304315E-5
0.00805,1.087531937E-4,-9.455806005E-5
0.0081,1.019332952E-4,-9.472592394E-5
0.00815,9.501300743E-5,-9.489646931E-5
0.0082,8.799918927E-5,-9.506952711E-5
0.00825,8.089872391E-5,-9.524492752E-5
0.0083,7.371860934E-5,-9.542249767E-5
0.00835,6.646595843E-5,-9.560206164E-5
0.0084,5.914788767E-5,-9.578344324E-5
0.00845,5.177160752E-5,-9.596646375E-5
0.0085,4.434442228E-5,-9.615094194E-5
0.00855,3.687361859E-5,-9.633669681E-5
0.0086,2.936655569E-5,-9.652354538E-5
0.00865,2.183066515E-5,-9.671130268E-5
0.0087,1.427333916E-5,-9.689978453E-5
0.00875,6.702020813E-6,-9.70888053E-5
0.0088,-8.757963083E-7,-9.72781779E-5
0.00885,-8.452679912E-6,-9.74677166E-5
0.0089,-1.60211687E-5,-9.765723475E-5
0.00895,-2.357377472E-5,-9.784654484E-5
0.009,-3.110311337E-5,-9.803546177E-5
0.00905,-3.860176674E-5,-9.822379942E-5
0.0091,-4.606227318E-5,-9.841137038E-5
0.00915,-5.347730656E-5,-9.859799046E-5
0.0092,-6.083959027E-5,-9.878347652E-5
0.00925,-6.814186883E-5,-9.896764575E-5
0.0093,-7.537692085E-5,-9.915031604E-5
0.00935,-8.253765911E-5,-9.933130843E-5
0.0094,-8.961703323E-5,-9.951044472E-5
0.00945,-9.660803573E-5,-9.96875476E-5
0.0095,-1.035038134E-4,-9.986244345E-5
0.00955,-1.102975763E-4,-1.0003496E-4
0.0096,-1.169825971E-4,-1.002049266E-4
0.00965,-1.235523231E-4,-1.003721764E-4
0.0097,-1.300002842E-4,-1.005365448E-4
0.00975,-1.363200929E-4,-1.006978691E-4
0.0098,-1.42505555E-4,-1.008559909E-4
0.00985,-1.485505776E-4,-1.010107547E-4
0.0099,-1.544491689E-4,-1.01162007E-4
0.00995,-1.601955481E-4,-1.013095995E-4
0.01,-1.657840536E-4,-1.014533869E-4
0.01005,-1.712091414E-4,-1.015932265E-4
0.0101,-1.764654959E-4,-1.017289813E-4
0.01015,-1.815657413E-4,-1.018609629E-4
0.0102,-1.876893925E-4,-1.020186698E-4
0.01025,-1.975419874E-4,-1.022698001E-4
0.0103,-2.131296649E-4,-1.026646254E-4
0.01035,-2.338716571E-4,-1.031887628E-4
0.0104,-2.572128128E-4,-1.037784302E-4
0.01045,-2.813424272E-4,-1.043884025E-4
0.0105,-3.056030269E-4,-1.050022543E-4
0.01055,-3.29534808E-4,-1.056084881E-4
0.0106,-3.528374336E-4,-1.061995834E-4
0.01065,-3.75384186E-4,-1.06772355E-4
0.0107,-3.971337201E-4,-1.073257498E-4
0.01075,-4.180733865E-4,-1.078594316E-4
0.0108,-4.382030654E-4,-1.08373377E-4
0.01085,-4.575299772E-4,-1.088677465E-4
0.0109,-4.760647453E-4,-1.093427856E-4
0.01095,-4.938195071E-4,-1.097987782E-4
0.011,-5.108070615E-4,-1.102360249E-4
0.01105,-5.270403333E-4,-1.106548298E-4
0.0111,-5.425320259E-4,-1.110554918E-4
0.01115,-5.572946119E-4,-1.114383043E-4
0.0112,-5.713400988E-4,-1.118035494E-4
0.01125,-5.846800351E-4,-1.121514981E-4
0.0113,-5.97325558E-4,-1.124824112E-4
0.01135,-6.092873539E-4,-1.127965388E-4
0.0114,-6.205756286E-4,-1.130941189E-4
0.01145,-6.312002979E-4,-1.133753829E-4
0.0115,-6.411708464E-4,-1.136405512E-4
0.01155,-6.504963712E-4,-1.138898352E-4
0.0116,-6.591857335E-4,-1.141234403E-4
0.01165,-6.672475562E-4,-1.143415663E-4
0.0117,-6.7469017E-4,-1.145444058E-4
0.01175,-6.815216869E-4,-1.147321464E-4
0.0118,-6.877500821E-4,-1.149049722E-4
0.01185,-6.933831508E-4,-1.150630631E-4
0.0119,-6.98428496E-4,-1.152065943E-4
0.01195,-7.028936887E-4,-1.153357407E-4
0.012,-7.067861573E-4,-1.154506734E-4
0.01205,-7.101132317E-4,-1.155515615E-4
0.0121,-7.12882235E-4,-1.15638574E-4
0.01215,-7.151004304E-4,-1.157118787E-4
0.0122,-7.167750023E-4,-1.157716415E-4
0.01225,-7.179132009E-4,-1.1581803E-4
0.0123,-7.185222305E-4,-1.158512112E-4
0.01235,-7.1860928E-4,-1.158713516E-4
0.0124,-7.181816134E-4,-1.158786198E-4
0.01245,-7.172465036E-4,-1.158731849E-4
0.0125,-7.158112133E-4,-1.158552159E-4
0.01255,-7.138831273E-4,-1.158248849E-4
0.0126,-7.114696406E-4,-1.157823646E-4
0.01265,-7.085781777E-4,-1.157278287E-4
0.0127,-7.052162837E-4,-1.156614537E-4
0.01275,-7.013915468E-4,-1.155834179E-4
0.0128,-6.971115804E-4,-1.154939E-4
0.01285,-6.92384145E-4,-1.153930829E-4
0.0129,-6.872170377E-4,-1.152811502E-4
0.01295,-6.816181023E-4,-1.151582872E-4
0.013,-6.755953202E-4,-1.150246829E-4
0.01305,-6.691567263E-4,-1.148805274E-4
0.0131,-6.623103907E-4,-1.147260124E-4
0.01315,-6.550645336E-4,-1.145613331E-4
0.0132,-6.474274154E-4,-1.143866863E-4
0.01325,-6.394073401E-4,-1.142022698E-4
0.0133,-6.310127473E-4,-1.140082853E-4
0.01335,-6.222521213E-4,-1.138049354E-4
0.0134,-6.131339742E-4,-1.135924241E-4
0.01345,-6.036669552E-4,-1.133709586E-4
0.0135,-5.938597409E-4,-1.131407473E-4
0.01355,-5.837210347E-4,-1.129019994E-4
0.0136,-5.732596587E-4,-1.126549273E-4
0.01365,-5.624844588E-4,-1.123997441E-4
0.0137,-5.514042887E-4,-1.121366634E-4
0.01375,-5.400281146E-4,-1.11865902E-4
0.0138,-5.283649073E-4,-1.115876767E-4
0.01385,-5.164236368E-4,-1.113022048E-4
0.0139,-5.042133662E-4,-1.11009706E-4
0.01395,-4.917431528E-4,-1.107104001E-4
0.014,-4.790220348E-4,-1.104045067E-4
0.01405,-4.660591405E-4,-1.100922479E-4
0.0141,-4.528635731E-4,-1.097738452E-4
0.01415,-4.394443603E-4,-1.094495187E-4
0.0142,-4.258105962E-4,-1.091194903E-4
0.01425,-4.11971386E-4,-1.087839823E-4
0.0143,-3.979357857E-4,-1.084432162E-4
0.01435,-3.837128064E-4,-1.080974123E-4
0.0144,-3.693114971E-4,-1.077467924E-4
0.01445,-3.547408375E-4,-1.073915765E-4
0.0145,-3.400097303E-4,-1.070319832E-4
0.01455,-3.251270999E-4,-1.066682317E-4
0.0146,-3.101017869E-4,-1.063005392E-4
