"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|udA8"
0.0055,-1.099660772E-4,-1.049009894E-4
0.00555,-1.059360658E-4,-1.048029379E-4
0.0056,-1.018013609E-4,-1.04702167E-4
0.00565,-9.756607819E-5,-1.04598777E-4
0.0057,-9.323440203E-5,-1.044928701E-4
0.00575,-8.881057622E-5,-1.043845501E-4
0.0058,-8.429900311E-5,-1.042739246E-4
0.00585,-7.970414117E-5,-1.041611031E-4
0.0059,-7.503049528E-5,-1.040461961E-4
0.00595,-7.028271558E-5,-1.03929318E-4
0.006,-6.54654949E-5,-1.038105844E-4
0.00605,-6.058355873E-5,-1.036901116E-4
0.0061,-5.564176385E-5,-1.035680195E-4
0.00615,-5.064499559E-5,-1.034444289E-4
0.0062,-4.559815906E-5,-1.03319461E-4
0.00625,-4.050628816E-5,-1.031932406E-4
0.0063,-3.537442525E-5,-1.030658925E-4
0.00635,-3.020757375E-5,-1.02937541E-4
0.0064,-2.501085054E-5,-1.028083131E-4
0.00645,-1.978941941E-5,-1.026783373E-4
0.0065,-1.454843691E-5,-1.02547742E-4
0.00655,-9.293054677E-6,-1.024166555E-4
0.0066,-4.028506136E-6,-1.022852083E-4
0.00665,1.24000291E-6,-1.021535304E-4
0.0067,6.507298895E-6,-1.020217512E-4
0.00675,1.176814267E-5,-1.018900016E-4
0.0068,1.701733243E-5,-1.017584121E-4
0.00685,2.224971422E-5,-1.016271117E-4
0.0069,2.746008399E-5,-1.01496231E-4
0.00695,3.26432903E-5,-1.013658996E-4
0.007,3.779424485E-5,-1.012362453E-4
0.00705,4.290782461E-5,-1.01107397E-4
0.0071,4.797897437E-5,-1.009794822E-4
0.00715,5.300271718E-5,-1.008526263E-4
0.0072,5.797405644E-5,-1.007269556E-4
0.00725,6.288807823E-5,-1.006025943E-4
0.0073,6.773996168E-5,-1.004796644E-4
0.00735,7.252488089E-5,-1.003582881E-4
0.0074,7.723810706E-5,-1.002385854E-4
0.00745,8.187501868E-5,-1.001206737E-4
0.0075,8.643100327E-5,-1.000046702E-4
0.00755,9.09015593E-5,-9.989068967E-5
0.0076,9.528230607E-5,-9.97788437E-5
0.00765,9.956888535E-5,-9.966924357E-5
0.0077,1.037570629E-4,-9.956199756E-5
0.00775,1.078427382E-4,-9.945721068E-5
0.0078,1.118218457E-4,-9.935498718E-5
0.00785,1.156904561E-4,-9.925542802E-5
0.0079,1.194447858E-4,-9.915863058E-5
0.00795,1.230810977E-4,-9.906469121E-5
0.008,1.265958026E-4,-9.897370262E-5
0.00805,1.299854673E-4,-9.888575374E-5
0.0081,1.332467165E-4,-9.880093211E-5
0.00815,1.363763323E-4,-9.871932142E-5
0.0082,1.393712633E-4,-9.86410013E-5
0.00825,1.42228525E-4,-9.856604976E-5
0.0083,1.449452996E-4,-9.849454072E-5
0.00835,1.475189447E-4,-9.842654379E-5
