"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|udA8"
0.0,-1.843512576E-4,-1.026668385E-4
5.0E-5,-1.890786027E-4,-1.0278969E-4
1.0E-4,-1.936195471E-4,-1.029079973E-4
1.5E-4,-1.979696432E-4,-1.030216446E-4
2.0E-4,-2.021246001E-4,-1.031305197E-4
2.5E-4,-2.060802813E-4,-1.032345143E-4
3.0E-4,-2.098328142E-4,-1.033335265E-4
3.5E-4,-2.133784948E-4,-1.034274587E-4
4.0E-4,-2.167137853E-4,-1.035162171E-4
4.5E-4,-2.198354225E-4,-1.035997149E-4
5.0E-4,-2.227403227E-4,-1.036778696E-4
5.5E-4,-2.254255776E-4,-1.037506031E-4
6.0E-4,-2.278885634E-4,-1.038178441E-4
6.5E-4,-2.301268436E-4,-1.038795263E-4
7.0E-4,-2.321381658E-4,-1.039355877E-4
7.5E-4,-2.339205686E-4,-1.039859735E-4
8.0E-4,-2.354722854E-4,-1.040306338E-4
8.5E-4,-2.367917391E-4,-1.040695235E-4
9.0E-4,-2.378776494E-4,-1.041026046E-4
9.5E-4,-2.387289349E-4,-1.041298443E-4
0.001,-2.393447084E-4,-1.041512146E-4
0.00105,-2.397243822E-4,-1.041666948E-4
0.0011,-2.398675714E-4,-1.041762694E-4
0.00115,-2.397740918E-4,-1.041799279E-4
0.0012,-2.394440607E-4,-1.041776674E-4
0.00125,-2.388777867E-4,-1.041694896E-4
0.0013,-2.380757645E-4,-1.041554009E-4
0.00135,-2.370387956E-4,-1.041354156E-4
0.0014,-2.357679024E-4,-1.041095534E-4
0.00145,-2.342642876E-4,-1.040778384E-4
0.0015,-2.325294551E-4,-1.040403025E-4
0.00155,-2.305651083E-4,-1.039969825E-4
0.0016,-2.283731382E-4,-1.0394792E-4
0.00165,-2.259557273E-4,-1.038931639E-4
0.0017,-2.2331525E-4,-1.038327678E-4
0.00175,-2.204542634E-4,-1.037667903E-4
0.0018,-2.173756111E-4,-1.036952968E-4
0.00185,-2.140823208E-4,-1.036183578E-4
0.0019,-2.105775951E-4,-1.035360479E-4
0.00195,-2.068649141E-4,-1.034484489E-4
0.002,-2.029479327E-4,-1.03355647E-4
0.00205,-1.988304709E-4,-1.032577327E-4
0.0021,-1.94516615E-4,-1.031548032E-4
0.00215,-1.900106154E-4,-1.030469597E-4
0.0022,-1.853168751E-4,-1.029343078E-4
0.00225,-1.804400516E-4,-1.028169592E-4
0.0023,-1.753849528E-4,-1.026950295E-4
0.00235,-1.701565264E-4,-1.025686382E-4
0.0024,-1.647599595E-4,-1.024379104E-4
0.00245,-1.592005759E-4,-1.023029753E-4
0.0025,-1.534838231E-4,-1.021639651E-4
0.00255,-1.476153731E-4,-1.020210176E-4
0.0026,-1.416010179E-4,-1.018742739E-4
0.00265,-1.354466567E-4,-1.01723878E-4
0.0027,-1.291583961E-4,-1.01569979E-4
0.00275,-1.227424451E-4,-1.01412729E-4
0.0028,-1.162051021E-4,-1.012522823E-4
0.00285,-1.095528542E-4,-1.01088798E-4
0.0029,-1.027922724E-4,-1.009224378E-4
0.00295,-9.592999778E-5,-1.00753365E-4
0.003,-8.897284087E-5,-1.005817473E-4
0.00305,-8.192767601E-5,-1.004077544E-4
0.0031,-7.480142782E-5,-1.002315574E-4
0.00315,-6.760116961E-5,-1.000533309E-4
0.0032,-6.033401803E-5,-9.987325132E-5
0.00325,-5.300711905E-5,-9.969149561E-5
0.0033,-4.562774614E-5,-9.950824422E-5
0.00335,-3.820319476E-5,-9.932367832E-5
0.0034,-3.074076816E-5,-9.913797945E-5
0.00345,-2.324787536E-5,-9.895133199E-5
0.0035,-1.57319255E-5,-9.876392049E-5
0.00355,-8.200315585E-6,-9.857592939E-5
0.0036,-6.605387242E-7,-9.838754573E-5
0.00365,6.879942114E-6,-9.819895596E-5
0.0037,1.441374149E-5,-9.80103448E-5
0.00375,2.193339944E-5,-9.782189901E-5
0.0038,2.943145331E-5,-9.76338056E-5
0.00385,3.69004929E-5,-9.744625046E-5
0.0039,4.433316199E-5,-9.725941831E-5
0.00395,5.172207196E-5,-9.707349486E-5
0.004,5.905991367E-5,-9.688866404E-5
0.00405,6.633946578E-5,-9.670510775E-5
0.0041,7.355349708E-5,-9.65230083E-5
0.00415,8.069487165E-5,-9.634254583E-5
0.0042,8.775656296E-5,-9.61638979E-5
