"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU"
0.00905,0.0,1.015743986
0.0091,0.0,1.015743932
0.00915,0.0,1.015743878
0.0092,0.0,1.015743825
0.00925,0.0,1.015743771
0.0093,0.0,1.015743717
0.00935,0.0,1.015743663
0.0094,0.0,1.015743609
0.00945,0.0,1.015743555
0.0095,0.0,1.015743501
0.00955,0.0,1.015743447
0.0096,0.0,1.015743394
0.00965,0.0,1.01574334
0.0097,0.0,1.015743286
0.00975,0.0,1.015743232
0.0098,0.0,1.015743178
0.00985,0.0,1.015743124
0.0099,0.0,1.01574307
0.00995,0.0,1.015743016
0.01,0.0,1.015742963
0.01005,0.0,1.015742909
0.0101,0.0,1.015742855
0.01015,0.0,1.015742801
0.0102,0.0,1.015742747
0.01025,0.0,1.015742693
0.0103,0.0,1.015742639
0.01035,0.0,1.015742585
0.0104,0.0,1.015742532
0.01045,0.0,1.015742478
0.0105,0.0,1.015742424
0.01055,0.0,1.01574237
0.0106,0.0,1.015742316
0.01065,0.0,1.015742262
0.0107,0.0,1.015742208
0.01075,0.0,1.015742154
0.0108,0.0,1.015742101
0.01085,0.0,1.015742047
0.0109,0.0,1.015741993
0.01095,0.0,1.015741939
0.011,0.0,1.015741885
0.01105,0.0,1.015741831
0.0111,0.0,1.015741777
0.01115,0.0,1.015741723
0.0112,0.0,1.01574167
0.01125,0.0,1.015741616
0.0113,0.0,1.015741562
0.01135,0.0,1.015741508
0.0114,0.0,1.015741454
0.01145,0.0,1.0157414
0.0115,0.0,1.015741346
0.01155,0.0,1.015741292
0.0116,0.0,1.015741239
0.01165,0.0,1.015741185
0.0117,0.0,1.015741131
0.01175,0.0,1.015741077
0.0118,0.0,1.015741023
0.01185,0.0,1.015740969
0.0119,0.0,1.015740915
0.01195,0.0,1.015740861
0.012,0.0,1.015740808
0.01205,0.0,1.015740754
0.0121,0.0,1.0157407
0.01215,0.0,1.015740646
0.0122,0.0,1.015740592
0.01225,0.0,1.015740538
0.0123,0.0,1.015740484
0.01235,0.0,1.01574043
0.0124,0.0,1.015740377
0.01245,0.0,1.015740323
0.0125,0.0,1.015740269
0.01255,0.0,1.015740215
0.0126,0.0,1.015740161
0.01265,0.0,1.015740107
0.0127,0.0,1.015740053
0.01275,0.0,1.015739999
0.0128,0.0,1.015739946
0.01285,0.0,1.015739892
0.0129,0.0,1.015739838
0.01295,0.0,1.015739784
0.013,0.0,1.01573973
0.01305,0.0,1.015739676
0.0131,0.0,1.015739622
0.01315,0.0,1.015739568
0.0132,0.0,1.015739515
0.01325,0.0,1.015739461
0.0133,0.0,1.015739407
0.01335,0.0,1.015739353
0.0134,0.0,1.015739299
0.01345,0.0,1.015739245
0.0135,0.0,1.015739191
0.01355,0.0,1.015739138
0.0136,0.0,1.015739084
0.01365,0.0,1.01573903
0.0137,0.0,1.015738976
0.01375,0.0,1.015738922
0.0138,0.0,1.015738868
0.01385,0.0,1.015738814
0.0139,0.0,1.01573876
0.01395,0.0,1.015738707
0.014,0.0,1.015738653
0.01405,0.0,1.015738599
0.0141,0.0,1.015738545
0.01415,0.0,1.015738491
0.0142,0.0,1.015738437
0.01425,0.0,1.015738383
0.0143,0.0,1.015738329
0.01435,0.0,1.015738276
0.0144,0.0,1.015738222
0.01445,0.0,1.015738168
0.0145,0.0,1.015738114
0.01455,0.0,1.01573806
0.0146,0.0,1.015738006
0.01465,0.0,1.015737952
0.0147,0.0,1.015737899
0.01475,0.0,1.015737845
0.0148,0.0,1.015737791
0.01485,0.0,1.015737737
0.0149,0.0,1.015737683
0.01495,0.0,1.015737629
0.015,0.0,1.015737575
0.01505,0.0,1.015737521
0.0151,0.0,1.015737468
0.01515,0.0,1.015737414
0.0152,0.0,1.01573736
0.01525,0.0,1.015737306
0.0153,0.0,1.015737252
0.01535,0.0,1.015737198
0.0154,0.0,1.015737144
0.01545,0.0,1.015737091
0.0155,0.0,1.015737037
0.01555,0.0,1.015736983
0.0156,0.0,1.015736929
0.01565,0.0,1.015736875
0.0157,0.0,1.015736821
0.01575,0.0,1.015736767
0.0158,0.0,1.015736713
0.01585,0.0,1.01573666
0.0159,0.0,1.015736606
0.01595,0.0,1.015736552
0.016,0.0,1.015736498
0.01605,0.0,1.015736444
0.0161,0.0,1.01573639
0.01615,0.0,1.015736336
0.0162,0.0,1.015736283
0.01625,0.0,1.015736229
0.0163,0.0,1.015736175
0.01635,0.0,1.015736121
0.0164,0.0,1.015736067
0.01645,0.0,1.015736013
0.0165,0.0,1.015735959
0.01655,0.0,1.015735905
0.0166,0.0,1.015735852
0.01665,0.0,1.015735798
0.0167,0.0,1.015735744
0.01675,0.0,1.01573569
0.0168,0.0,1.015735636
0.01685,0.0,1.015735582
0.0169,0.0,1.015735528
0.01695,0.0,1.015735475
0.017,0.0,1.015735421
0.01705,0.0,1.015735367
0.0171,0.0,1.015735313
0.01715,0.0,1.015735259
0.0172,0.0,1.015735205
0.01725,0.0,1.015735151
0.0173,0.0,1.015735097
0.01735,0.0,1.015735044
0.0174,0.0,1.01573499
0.01745,0.0,1.015734936
0.0175,0.0,1.015734882
0.01755,0.0,1.015734828
0.0176,0.0,1.015734774
0.01765,0.0,1.01573472
0.0177,0.0,1.015734667
0.01775,0.0,1.015734613
0.0178,0.0,1.015734559
0.01785,0.0,1.015734505
0.0179,0.0,1.015734451
0.01795,0.0,1.015734397
0.018,0.0,1.015734343
0.01805,0.0,1.01573429
0.0181,0.0,1.015734236
0.01815,0.0,1.015734182
0.0182,0.0,1.015734128
0.01825,0.0,1.015734074
0.0183,0.0,1.01573402
0.01835,0.0,1.015733966
0.0184,0.0,1.015733912
0.01845,0.0,1.015733859
0.0185,0.0,1.015733805
0.01855,0.0,1.015733751
0.0186,0.0,1.015733697
0.01865,0.0,1.015733643
