32000 [5.72e-01, 3.23e+00]
32200 [5.71e-01, 3.24e+00]
32400 [5.71e-01, 3.26e+00]
32600 [5.70e-01, 3.27e+00]
32800 [5.70e-01, 3.28e+00]
33000 [5.69e-01, 3.29e+00]
33200 [5.69e-01, 3.30e+00]
33400 [5.69e-01, 3.31e+00]
33600 [5.68e-01, 3.32e+00]
33800 [5.68e-01, 3.33e+00]
34000 [5.67e-01, 3.34e+00]
34200 [5.67e-01, 3.35e+00]
34400 [5.66e-01, 3.36e+00]
34600 [5.66e-01, 3.37e+00]
34800 [5.66e-01, 3.38e+00]
35000 [5.65e-01, 3.39e+00]
35200 [5.65e-01, 3.40e+00]
35400 [5.64e-01, 3.41e+00]
35600 [5.64e-01, 3.42e+00]
35800 [5.64e-01, 3.43e+00]
36000 [5.63e-01, 3.44e+00]
36200 [5.63e-01, 3.45e+00]
36400 [5.62e-01, 3.46e+00]
36600 [5.62e-01, 3.47e+00]
36800 [5.62e-01, 3.48e+00]
37000 [5.61e-01, 3.48e+00]
37200 [5.61e-01, 3.49e+00]
37400 [5.60e-01, 3.50e+00]
37600 [5.60e-01, 3.51e+00]
37800 [5.60e-01, 3.52e+00]
38000 [5.59e-01, 3.53e+00]
38200 [5.59e-01, 3.54e+00]
38400 [5.58e-01, 3.55e+00]
38600 [5.58e-01, 3.56e+00]
38800 [5.58e-01, 3.57e+00]
39000 [5.57e-01, 3.58e+00]
39200 [5.57e-01, 3.58e+00]
39400 [5.57e-01, 3.59e+00]
39600 [5.56e-01, 3.60e+00]
39800 [5.56e-01, 3.61e+00]
40000 [5.55e-01, 3.62e+00]
40200 [5.55e-01, 3.63e+00]
40400 [5.55e-01, 3.64e+00]
40600 [5.54e-01, 3.64e+00]
40800 [5.54e-01, 3.65e+00]
41000 [5.54e-01, 3.66e+00]
41200 [5.53e-01, 3.67e+00]
41400 [5.53e-01, 3.68e+00]
41600 [5.53e-01, 3.69e+00]
41800 [5.52e-01, 3.69e+00]
42000 [5.52e-01, 3.70e+00]
42200 [5.52e-01, 3.71e+00]
42400 [5.51e-01, 3.72e+00]
42600 [5.51e-01, 3.73e+00]
42800 [5.51e-01, 3.73e+00]
43000 [5.50e-01, 3.74e+00]
43200 [5.50e-01, 3.75e+00]
43400 [5.50e-01, 3.76e+00]
43600 [5.49e-01, 3.77e+00]
43800 [5.49e-01, 3.77e+00]
44000 [5.49e-01, 3.78e+00]
44200 [5.48e-01, 3.79e+00]
44400 [5.48e-01, 3.80e+00]
44600 [5.48e-01, 3.81e+00]
44800 [5.48e-01, 3.81e+00]
45000 [5.47e-01, 3.82e+00]
45200 [5.47e-01, 3.83e+00]
45400 [5.47e-01, 3.83e+00]
45600 [5.46e-01, 3.84e+00]
45800 [5.46e-01, 3.85e+00]
46000 [5.46e-01, 3.86e+00]
46200 [5.45e-01, 3.86e+00]
46400 [5.45e-01, 3.87e+00]
46600 [5.45e-01, 3.88e+00]
46800 [5.45e-01, 3.89e+00]
47000 [5.44e-01, 3.89e+00]
47200 [5.44e-01, 3.90e+00]
47400 [5.44e-01, 3.91e+00]
47600 [5.43e-01, 3.91e+00]
47800 [5.43e-01, 3.92e+00]
48000 [5.43e-01, 3.93e+00]
48200 [5.43e-01, 3.93e+00]
48400 [5.42e-01, 3.94e+00]
48600 [5.42e-01, 3.95e+00]
48800 [5.42e-01, 3.95e+00]
49000 [5.41e-01, 3.96e+00]
49200 [5.41e-01, 3.97e+00]
49400 [5.41e-01, 3.97e+00]
49600 [5.41e-01, 3.98e+00]
49800 [5.40e-01, 3.98e+00]
50000 [5.40e-01, 3.99e+00]
50200 [5.40e-01, 4.00e+00]
50400 [5.40e-01, 4.00e+00]
50600 [5.39e-01, 4.01e+00]
50800 [5.39e-01, 4.02e+00]
51000 [5.39e-01, 4.02e+00]
51200 [5.39e-01, 4.03e+00]
51400 [5.38e-01, 4.03e+00]
51600 [5.38e-01, 4.04e+00]
51800 [5.38e-01, 4.05e+00]
52000 [5.38e-01, 4.05e+00]
52200 [5.37e-01, 4.06e+00]
52400 [5.37e-01, 4.06e+00]
52600 [5.37e-01, 4.07e+00]
52800 [5.37e-01, 4.07e+00]
53000 [5.36e-01, 4.08e+00]
53200 [5.36e-01, 4.09e+00]
53400 [5.36e-01, 4.09e+00]
53600 [5.36e-01, 4.10e+00]
53800 [5.35e-01, 4.10e+00]
54000 [5.35e-01, 4.11e+00]
54200 [5.35e-01, 4.11e+00]
54400 [5.35e-01, 4.12e+00]
54600 [5.35e-01, 4.13e+00]
54800 [5.34e-01, 4.13e+00]
55000 [5.34e-01, 4.14e+00]
55200 [5.34e-01, 4.14e+00]
55400 [5.34e-01, 4.15e+00]
55600 [5.33e-01, 4.15e+00]
55800 [5.33e-01, 4.16e+00]
56000 [5.33e-01, 4.16e+00]
56200 [5.33e-01, 4.17e+00]
56400 [5.33e-01, 4.17e+00]
56600 [5.32e-01, 4.18e+00]
56800 [5.32e-01, 4.18e+00]
57000 [5.32e-01, 4.19e+00]
57200 [5.32e-01, 4.19e+00]
57400 [5.32e-01, 4.20e+00]
57600 [5.32e-01, 4.20e+00]
57800 [5.31e-01, 4.21e+00]
58000 [5.31e-01, 4.21e+00]
58200 [5.31e-01, 4.22e+00]
58400 [5.31e-01, 4.22e+00]
58600 [5.31e-01, 4.23e+00]
58800 [5.30e-01, 4.23e+00]
59000 [5.30e-01, 4.24e+00]
59200 [5.30e-01, 4.24e+00]
59400 [5.30e-01, 4.24e+00]
59600 [5.30e-01, 4.25e+00]
59800 [5.29e-01, 4.25e+00]
60000 [5.29e-01, 4.26e+00]
60200 [5.29e-01, 4.26e+00]
60400 [5.29e-01, 4.27e+00]
60600 [5.29e-01, 4.27e+00]
60800 [5.28e-01, 4.28e+00]
61000 [5.28e-01, 4.28e+00]
61200 [5.28e-01, 4.28e+00]
61400 [5.28e-01, 4.29e+00]
61600 [5.28e-01, 4.29e+00]
61800 [5.28e-01, 4.30e+00]
62000 [5.27e-01, 4.30e+00]
62200 [5.27e-01, 4.31e+00]
62400 [5.27e-01, 4.31e+00]
62600 [5.27e-01, 4.31e+00]
62800 [5.27e-01, 4.32e+00]
63000 [5.27e-01, 4.32e+00]
63200 [5.26e-01, 4.33e+00]
63400 [5.26e-01, 4.33e+00]
63600 [5.26e-01, 4.33e+00]
63800 [5.26e-01, 4.34e+00]
64000 [5.26e-01, 4.34e+00]
64200 [5.26e-01, 4.35e+00]
64400 [5.25e-01, 4.35e+00]
64600 [5.25e-01, 4.35e+00]
64800 [5.25e-01, 4.36e+00]
65000 [5.25e-01, 4.36e+00]
65200 [5.25e-01, 4.37e+00]
65400 [5.25e-01, 4.37e+00]
65600 [5.24e-01, 4.37e+00]
65800 [5.24e-01, 4.38e+00]
66000 [5.24e-01, 4.38e+00]
66200 [5.24e-01, 4.38e+00]
66400 [5.24e-01, 4.39e+00]
66600 [5.24e-01, 4.39e+00]
66800 [5.24e-01, 4.40e+00]
67000 [5.23e-01, 4.40e+00]
67200 [5.23e-01, 4.40e+00]
67400 [5.23e-01, 4.41e+00]
67600 [5.23e-01, 4.41e+00]
67800 [5.23e-01, 4.41e+00]
68000 [5.23e-01, 4.42e+00]
68200 [5.23e-01, 4.42e+00]
68400 [5.22e-01, 4.42e+00]
68600 [5.22e-01, 4.43e+00]
68800 [5.22e-01, 4.43e+00]
69000 [5.22e-01, 4.43e+00]
69200 [5.22e-01, 4.44e+00]
69400 [5.22e-01, 4.44e+00]
69600 [5.21e-01, 4.44e+00]
69800 [5.21e-01, 4.45e+00]
70000 [5.21e-01, 4.45e+00]
70200 [5.21e-01, 4.45e+00]
70400 [5.21e-01, 4.46e+00]
70600 [5.21e-01, 4.46e+00]
70800 [5.21e-01, 4.46e+00]
71000 [5.21e-01, 4.47e+00]
71200 [5.20e-01, 4.47e+00]
71400 [5.20e-01, 4.47e+00]
71600 [5.20e-01, 4.48e+00]
71800 [5.20e-01, 4.48e+00]
72000 [5.20e-01, 4.48e+00]
72200 [5.20e-01, 4.49e+00]
72400 [5.20e-01, 4.49e+00]
72600 [5.20e-01, 4.49e+00]
72800 [5.19e-01, 4.50e+00]
73000 [5.19e-01, 4.50e+00]
73200 [5.19e-01, 4.50e+00]
73400 [5.19e-01, 4.50e+00]
73600 [5.19e-01, 4.51e+00]
73800 [5.19e-01, 4.51e+00]
74000 [5.19e-01, 4.51e+00]
74200 [5.19e-01, 4.52e+00]
74400 [5.19e-01, 4.52e+00]
74600 [5.18e-01, 4.52e+00]
74800 [5.18e-01, 4.52e+00]
75000 [5.18e-01, 4.53e+00]
75200 [5.18e-01, 4.53e+00]
75400 [5.18e-01, 4.53e+00]
75600 [5.18e-01, 4.54e+00]
75800 [5.18e-01, 4.54e+00]
76000 [5.18e-01, 4.54e+00]
76200 [5.17e-01, 4.54e+00]
76400 [5.17e-01, 4.55e+00]
76600 [5.17e-01, 4.55e+00]
76800 [5.17e-01, 4.55e+00]
77000 [5.17e-01, 4.55e+00]
77200 [5.17e-01, 4.56e+00]
77400 [5.17e-01, 4.56e+00]
77600 [5.17e-01, 4.56e+00]
77800 [5.17e-01, 4.57e+00]
78000 [5.17e-01, 4.57e+00]
78200 [5.16e-01, 4.57e+00]
78400 [5.16e-01, 4.57e+00]
78600 [5.16e-01, 4.58e+00]
78800 [5.16e-01, 4.58e+00]
79000 [5.16e-01, 4.58e+00]
79200 [5.16e-01, 4.58e+00]
79400 [5.16e-01, 4.59e+00]
79600 [5.16e-01, 4.59e+00]
79800 [5.16e-01, 4.59e+00]
80000 [5.16e-01, 4.59e+00]
80200 [5.15e-01, 4.60e+00]
80400 [5.15e-01, 4.60e+00]
80600 [5.15e-01, 4.60e+00]
80800 [5.15e-01, 4.60e+00]
81000 [5.15e-01, 4.60e+00]
81200 [5.15e-01, 4.61e+00]
81400 [5.15e-01, 4.61e+00]
81600 [5.15e-01, 4.61e+00]
81800 [5.15e-01, 4.61e+00]
82000 [5.15e-01, 4.62e+00]
82200 [5.14e-01, 4.62e+00]
82400 [5.14e-01, 4.62e+00]
82600 [5.14e-01, 4.62e+00]
82800 [5.14e-01, 4.63e+00]
83000 [5.14e-01, 4.63e+00]
83200 [5.14e-01, 4.63e+00]
83400 [5.14e-01, 4.63e+00]
83600 [5.14e-01, 4.63e+00]
83800 [5.14e-01, 4.64e+00]
84000 [5.14e-01, 4.64e+00]
84200 [5.14e-01, 4.64e+00]
84400 [5.14e-01, 4.64e+00]
84600 [5.13e-01, 4.64e+00]
84800 [5.13e-01, 4.65e+00]
85000 [5.13e-01, 4.65e+00]
85200 [5.13e-01, 4.65e+00]
85400 [5.13e-01, 4.65e+00]
85600 [5.13e-01, 4.65e+00]
85800 [5.13e-01, 4.66e+00]
86000 [5.13e-01, 4.66e+00]
86200 [5.13e-01, 4.66e+00]
86400 [5.13e-01, 4.66e+00]
86600 [5.13e-01, 4.66e+00]
86800 [5.13e-01, 4.67e+00]
87000 [5.13e-01, 4.67e+00]
87200 [5.12e-01, 4.67e+00]
