"Time","Subsystem #1|Node Voltages|S1) VDCpA8","Subsystem #1|PV|Array1A|IPVAxxx","Subsystem #1|PV|Array1A|Io1PV"
0.00495,2.46265395,0.001231326975,5.109489909E-12
0.005,2.46265395,0.001231326975,5.109489909E-12
0.00505,2.46265395,0.001231326975,5.109489909E-12
0.0051,2.46265395,0.001231326975,5.109489909E-12
0.00515,2.46265395,0.001231326975,5.109489909E-12
0.0052,2.46265395,0.001231326975,5.109489909E-12
0.00525,2.46265395,0.001231326975,5.109489909E-12
0.0053,2.46265395,0.001231326975,5.109489909E-12
0.00535,2.46265395,0.001231326975,5.109489909E-12
0.0054,2.46265395,0.001231326975,5.109489909E-12
0.00545,2.46265395,0.001231326975,5.109489909E-12
0.0055,2.46265395,0.001231326975,5.109489909E-12
0.00555,2.46265395,0.001231326975,5.109489909E-12
0.0056,2.46265395,0.001231326975,5.109489909E-12
0.00565,2.46265395,0.001231326975,5.109489909E-12
0.0057,2.46265395,0.001231326975,5.109489909E-12
0.00575,2.46265395,0.001231326975,5.109489909E-12
0.0058,2.46265395,0.001231326975,5.109489909E-12
0.00585,2.46265395,0.001231326975,5.109489909E-12
0.0059,2.46265395,0.001231326975,5.109489909E-12
0.00595,2.46265395,0.001231326975,5.109489909E-12
0.006,2.46265395,0.001231326975,5.109489909E-12
0.00605,2.46265395,0.001231326975,5.109489909E-12
0.0061,2.46265395,0.001231326975,5.109489909E-12
0.00615,2.46265395,0.001231326975,5.109489909E-12
0.0062,2.46265395,0.001231326975,5.109489909E-12
0.00625,2.46265395,0.001231326975,5.109489909E-12
0.0063,2.46265395,0.001231326975,5.109489909E-12
0.00635,2.46265395,0.001231326975,5.109489909E-12
0.0064,2.46265395,0.001231326975,5.109489909E-12
0.00645,2.46265395,0.001231326975,5.109489909E-12
0.0065,2.46265395,0.001231326975,5.109489909E-12
0.00655,2.46265395,0.001231326975,5.109489909E-12
0.0066,2.46265395,0.001231326975,5.109489909E-12
0.00665,2.46265395,0.001231326975,5.109489909E-12
0.0067,2.46265395,0.001231326975,5.109489909E-12
0.00675,2.46265395,0.001231326975,5.109489909E-12
0.0068,2.46265395,0.001231326975,5.109489909E-12
0.00685,2.46265395,0.001231326975,5.109489909E-12
0.0069,2.46265395,0.001231326975,5.109489909E-12
0.00695,2.46265395,0.001231326975,5.109489909E-12
0.007,2.46265395,0.001231326975,5.109489909E-12
0.00705,2.46265395,0.001231326975,5.109489909E-12
0.0071,2.46265395,0.001231326975,5.109489909E-12
0.00715,2.46265395,0.001231326975,5.109489909E-12
0.0072,2.46265395,0.001231326975,5.109489909E-12
0.00725,2.46265395,0.001231326975,5.109489909E-12
0.0073,2.46265395,0.001231326975,5.109489909E-12
0.00735,2.46265395,0.001231326975,5.109489909E-12
0.0074,2.46265395,0.001231326975,5.109489909E-12
