,0,1
0,1.0,1.0
1,0.974,0.995
2,0.973,0.995
3,0.973,0.995
4,0.972,0.995
5,0.977,0.995
6,0.977,0.995
7,0.978,0.995
8,0.98,0.995
9,0.983,0.995
10,0.987,0.995
11,0.99,0.995
12,0.994,0.995
13,0.997,0.996
14,1.0,0.996
15,1.01,0.996
16,1.01,0.996
17,1.02,0.996
18,1.02,0.996
19,1.03,0.996
20,1.03,0.996
21,1.03,0.996
22,1.04,0.996
23,1.04,0.996
24,1.05,0.996
25,1.06,0.996
26,1.06,0.995
27,1.07,0.996
28,1.07,0.995
29,1.08,0.995
30,1.08,0.995
31,1.08,0.994
32,1.09,0.995
33,1.1,0.994
34,1.1,0.994
35,1.11,0.993
36,1.11,0.992
37,1.12,0.992
38,1.12,0.991
39,1.12,0.989
40,1.14,0.99
41,1.14,0.988
42,1.14,0.986
43,1.15,0.988
44,1.15,0.987
45,1.16,0.989
46,1.15,0.988
47,1.15,0.987
48,1.15,0.988
49,1.15,0.986
50,1.16,0.988
51,1.15,0.985
52,1.16,0.988
53,1.15,0.986
54,1.15,0.982
55,1.16,0.985
56,1.15,0.982
57,1.16,0.984
58,1.15,0.981
59,1.16,0.984
60,1.15,0.979
61,1.16,0.981
62,1.16,0.977
63,1.15,0.973
64,1.16,0.976
65,1.15,0.97
66,1.16,0.973
67,1.15,0.969
68,1.16,0.971
69,1.14,0.966
70,1.13,0.96
71,1.12,0.952
72,1.12,0.951
73,1.12,0.95
74,1.11,0.947
75,1.11,0.944
76,1.11,0.947
77,1.1,0.944
78,1.11,0.948
79,1.11,0.946
80,1.09,0.942
81,1.1,0.948
82,1.09,0.944
83,1.08,0.941
84,1.09,0.946
85,1.08,0.943
86,1.07,0.941
87,1.08,0.946
88,1.07,0.944
89,1.06,0.94
90,1.07,0.946
91,1.05,0.944
92,1.06,0.949
93,1.05,0.949
94,1.04,0.947
95,1.05,0.953
96,1.04,0.952
97,1.03,0.951
98,1.03,0.956
99,1.03,0.956
100,1.02,0.955
101,1.01,0.955
102,1.02,0.961
103,1.01,0.959
104,1.0,0.958
105,1.01,0.965
106,1.0,0.963
107,0.993,0.963
108,0.986,0.964
109,0.999,0.97
110,0.983,0.969
111,0.967,0.967
112,0.98,0.974
113,0.972,0.976
114,0.96,0.977
115,0.974,0.985
116,0.966,0.988
117,0.955,0.99
118,0.944,0.993
119,0.956,1.0
120,0.945,1.0
121,0.93,1.01
122,0.946,1.02
123,0.931,1.02
124,0.926,1.03
125,0.913,1.03
126,0.929,1.04
127,0.918,1.04
128,0.904,1.05
129,0.918,1.06
130,0.894,1.06
131,0.911,1.07
132,0.896,1.08
133,0.896,1.09
134,0.895,1.09
135,0.884,1.1
136,0.883,1.11
137,0.88,1.12
138,0.866,1.12
139,0.885,1.13
140,0.877,1.14
141,0.861,1.15
142,0.881,1.16
143,0.868,1.17
144,0.861,1.18
145,0.863,1.19
146,0.852,1.19
147,0.859,1.21
148,0.849,1.21
149,0.84,1.22
150,0.857,1.23
151,0.852,1.25
152,0.85,1.25
