,0,1
0,1.0,1.0
1,0.995,0.988
2,0.997,0.988
3,0.993,0.988
4,0.991,0.988
5,0.987,0.988
6,0.976,0.987
7,0.944,0.986
8,0.93,0.986
9,0.92,0.986
10,0.903,0.986
11,0.888,0.985
12,0.873,0.985
13,0.858,0.985
14,0.844,0.984
15,0.828,0.984
16,0.817,0.983
17,0.805,0.982
18,0.791,0.982
19,0.784,0.981
20,0.767,0.98
21,0.759,0.979
22,0.753,0.978
23,0.742,0.977
24,0.734,0.976
25,0.725,0.975
26,0.718,0.974
27,0.707,0.972
28,0.702,0.972
29,0.696,0.97
30,0.691,0.969
31,0.679,0.967
32,0.68,0.966
33,0.676,0.965
34,0.67,0.963
35,0.666,0.962
36,0.662,0.96
37,0.656,0.958
38,0.655,0.957
39,0.651,0.955
40,0.644,0.952
41,0.645,0.952
42,0.633,0.946
43,0.641,0.948
44,0.639,0.947
45,0.637,0.945
46,0.632,0.942
47,0.628,0.939
48,0.632,0.941
49,0.626,0.936
50,0.631,0.938
51,0.617,0.927
52,0.626,0.933
53,0.622,0.93
54,0.626,0.933
55,0.62,0.927
56,0.627,0.934
57,0.624,0.931
58,0.626,0.932
59,0.625,0.932
60,0.625,0.931
61,0.626,0.933
62,0.623,0.931
63,0.625,0.934
64,0.626,0.936
65,0.622,0.935
66,0.629,0.942
67,0.621,0.938
68,0.631,0.95
69,0.63,0.951
70,0.633,0.954
71,0.629,0.955
72,0.634,0.961
73,0.63,0.96
74,0.635,0.969
75,0.636,0.973
76,0.632,0.972
77,0.638,0.982
78,0.639,0.987
79,0.641,0.988
80,0.636,0.991
81,0.64,0.998
82,0.642,1.0
83,0.643,1.01
84,0.643,1.01
85,0.645,1.02
86,0.646,1.03
87,0.647,1.03
88,0.649,1.04
89,0.646,1.04
90,0.65,1.05
91,0.647,1.05
92,0.645,1.06
93,0.655,1.07
94,0.654,1.07
95,0.653,1.08
96,0.656,1.09
97,0.649,1.09
98,0.656,1.1
99,0.657,1.11
100,0.661,1.12
101,0.662,1.12
102,0.657,1.13
103,0.665,1.14
104,0.665,1.14
105,0.664,1.15
106,0.662,1.16
107,0.667,1.17
108,0.667,1.17
109,0.664,1.18
110,0.665,1.19
111,0.671,1.2
112,0.671,1.21
113,0.676,1.21
114,0.674,1.22
115,0.674,1.23
116,0.678,1.24
117,0.675,1.25
118,0.681,1.25
119,0.683,1.26
120,0.685,1.27
121,0.686,1.28
122,0.688,1.29
123,0.686,1.3
124,0.682,1.31
125,0.687,1.32
126,0.687,1.33
127,0.68,1.34
128,0.692,1.35
129,0.692,1.35
130,0.69,1.36
131,0.685,1.37
132,0.699,1.38
133,0.696,1.39
134,0.699,1.4
135,0.693,1.41
136,0.705,1.42
137,0.7,1.43
138,0.703,1.44
139,0.7,1.45
140,0.701,1.46
141,0.704,1.47
142,0.703,1.48
143,0.701,1.49
144,0.713,1.5
145,0.708,1.51
146,0.703,1.52
147,0.701,1.53
148,0.7,1.54
149,0.71,1.56
150,0.698,1.57
151,0.71,1.58
152,0.711,1.59
153,0.713,1.6
154,0.708,1.62
155,0.698,1.63
156,0.709,1.64
157,0.71,1.66
158,0.708,1.67
159,0.706,1.68
160,0.704,1.69
161,0.707,1.71
162,0.698,1.72
163,0.712,1.74
164,0.712,1.75
165,0.709,1.77
166,0.708,1.78
167,0.713,1.79
168,0.71,1.81
169,0.712,1.82
170,0.713,1.84
171,0.711,1.85
172,0.705,1.86
173,0.706,1.88
174,0.715,1.9
175,0.702,1.91
176,0.711,1.93
177,0.714,1.94
178,0.712,1.96
179,0.714,1.97
180,0.717,1.99
181,0.71,2.01
182,0.709,2.02
183,0.713,2.04
184,0.707,2.05
185,0.702,2.06
186,0.713,2.08
187,0.716,2.1
188,0.704,2.12
189,0.71,2.13
190,0.711,2.15
191,0.709,2.17
192,0.706,2.19
193,0.704,2.2
194,0.698,2.22
195,0.712,2.24
196,0.703,2.26
197,0.7,2.28
198,0.714,2.29
199,0.704,2.31
200,0.691,2.33
201,0.705,2.35
202,0.71,2.37
203,0.711,2.39
204,0.705,2.41
205,0.704,2.43
206,0.706,2.44
207,0.705,2.46
208,0.697,2.48
209,0.711,2.51
210,0.7,2.53
211,0.706,2.55
212,0.705,2.57
213,0.698,2.59
214,0.706,2.61
215,0.709,2.63
216,0.704,2.65
217,0.704,2.67
218,0.705,2.69
219,0.699,2.71
220,0.694,2.73
221,0.708,2.76
222,0.699,2.78
223,0.692,2.8
224,0.706,2.82
225,0.692,2.84
226,0.707,2.86
227,0.694,2.88
228,0.69,2.9
229,0.699,2.92
230,0.697,2.94
231,0.693,2.97
232,0.704,2.99
233,0.694,3.01
234,0.702,3.04
235,0.705,3.06
236,0.695,3.08
237,0.691,3.1
238,0.702,3.13
239,0.702,3.15
240,0.697,3.17
241,0.704,3.2
242,0.705,3.22
243,0.7,3.24
244,0.697,3.26
245,0.701,3.29
246,0.695,3.31
247,0.708,3.33
248,0.694,3.36
249,0.707,3.38
250,0.697,3.41
251,0.706,3.43
252,0.702,3.46
253,0.704,3.48
254,0.702,3.51
255,0.695,3.53
256,0.708,3.55
257,0.708,3.58
258,0.707,3.6
259,0.706,3.63
260,0.699,3.65
261,0.711,3.68
262,0.695,3.7
263,0.708,3.73
264,0.697,3.75
265,0.71,3.78
266,0.705,3.8
267,0.699,3.82
268,0.711,3.85
269,0.702,3.87
270,0.704,3.9
271,0.708,3.92
272,0.7,3.95
273,0.713,3.97
274,0.711,4.0
275,0.709,4.02
276,0.709,4.05
277,0.708,4.08
278,0.71,4.1
279,0.712,4.13
280,0.703,4.15
281,0.714,4.18
282,0.704,4.2
283,0.714,4.23
284,0.714,4.26
285,0.715,4.28
286,0.716,4.31
287,0.708,4.33
288,0.702,4.35
289,0.715,4.38
290,0.706,4.4
291,0.716,4.43
292,0.716,4.45
293,0.717,4.48
294,0.713,4.5
295,0.719,4.53
296,0.717,4.55
297,0.714,4.58
298,0.712,4.6
299,0.715,4.62
300,0.709,4.65
301,0.716,4.67
302,0.72,4.7
303,0.721,4.72
304,0.715,4.75
305,0.713,4.77
306,0.712,4.8
307,0.723,4.82
308,0.713,4.84
309,0.711,4.86
310,0.723,4.89
311,0.715,4.91
312,0.71,4.94
313,0.721,4.96
314,0.723,4.98
315,0.718,5.0
316,0.72,5.02
317,0.719,5.04
318,0.721,5.07
319,0.727,5.09
320,0.723,5.12
321,0.723,5.14
322,0.721,5.16
323,0.717,5.19
324,0.722,5.21
325,0.727,5.23
326,0.725,5.26
327,0.725,5.28
328,0.652,5.21
329,0.655,5.21
330,0.657,5.21
331,0.661,5.21
332,0.664,5.21
333,0.668,5.22
334,0.669,5.22
335,0.67,5.22
336,0.674,5.22
337,0.676,5.23
338,0.679,5.23
339,0.679,5.23
340,0.68,5.24
