"Time","Subsystem #1|CTLs|Vars|I1070_rms","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V101RMS","Subsystem #1|CTLs|Vars|V1070_rms","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0016,-5.100633621E-9,0.2619137213,-0.1026441736,376.9917645,0.9393879068,3.678294367,0.8852430609,1.782122211,-0.768894121,1.007097091,-3.659016187E-6,0.4672361105,-0.01750986194,2.997663972,1.173005797,0.1257189356,0.03866151149,0.9594653631,-0.7697841866
0.0017,-8.457817702E-9,0.261913108,-0.1026429338,376.9918004,0.9392882203,3.678114595,0.885170518,1.782020012,-0.7688956592,1.007061979,-5.106995899E-6,0.467221019,-0.01751131508,2.997633063,1.173025673,0.1257138654,0.03865928925,0.9594659452,-0.7697713476
0.0018,-1.180482366E-8,0.2619106255,-0.1026418098,376.9918326,0.9391518042,3.677931761,0.8851160095,1.781914177,-0.7688971726,1.007027076,-6.548792786E-6,0.467205958,-0.01751335376,2.997602061,1.173045058,0.1257079966,0.03865703529,0.9594665145,-0.769753684
0.0019,-1.5137538E-8,0.2619062874,-0.1026408053,376.9918609,0.9389794285,3.677746762,0.8850797748,1.781805266,-0.7688986529,1.006992549,-7.982623355E-6,0.4671910005,-0.01751597538,2.997571135,1.173063847,0.1257013591,0.0386547574,0.959467068,-0.7697312852
0.002,-1.845183822E-8,0.261900116,-0.1026399227,376.9918851,0.9387719614,3.677560557,0.8850619898,1.781693761,-0.7689000919,1.00695857,-9.406699739E-6,0.4671762205,-0.01751916437,2.997540452,1.173081937,0.125693986,0.03865246698,0.9594676025,-0.769704264
0.0021,-2.174359162E-8,0.261892143,-0.1026391652,376.9919051,0.9385304891,3.67737407,0.8850626767,1.781580244,-0.7689014818,1.006925302,-1.081922941E-5,0.4671616903,-0.01752290467,2.997510181,1.17309923,0.125685914,0.03865017447,0.9594681152,-0.7696727556
0.0022,-2.500865477E-8,0.2618824088,-0.1026385347,376.9919209,0.9382562851,3.677188237,0.885081823,1.781465282,-0.7689028148,1.006892912,-1.221841505E-5,0.4671474821,-0.01752717998,2.997480485,1.173115631,0.1256771838,0.03864788979,0.9594686032,-0.7696369186
0.0023,-2.824287322E-8,0.2618709626,-0.1026380325,376.9919322,0.9379507017,3.677004001,0.8851192962,1.781349438,-0.7689040836,1.006861563,-1.360245468E-5,0.4671336677,-0.01753196964,2.997451526,1.17313105,0.1256678397,0.03864562359,0.9594690638,-0.7695969334
0.0024,-3.144208163E-8,0.2618578623,-0.1026376596,376.9919392,0.9376153276,3.676822301,0.8851749145,1.781233294,-0.7689052811,1.006831415,-1.496954198E-5,0.4671203171,-0.01753724888,2.997423462,1.173145402,0.1256579288,0.03864338685,0.9594694944,-0.7695530016
0.0025,-3.460210474E-8,0.2618431739,-0.1026374165,376.9919416,0.937251842,3.676644059,0.8852483432,1.781117453,-0.7689064006,1.006802623,-1.631786688E-5,0.4671074999,-0.01754299838,2.997396446,1.173158608,0.1256475025,0.0386411884,0.9594698926,-0.7695053467
0.0026,-3.771875855E-8,0.2618269721,-0.1026373029,376.9919395,0.936862166,3.67647023,0.88533923,1.781002452,-0.7689074358,1.006775342,-1.764561647E-5,0.4670952841,-0.01754918968,2.997370627,1.173170594,0.1256366149,0.03863903939,0.9594702561,-0.7694542122
0.0027,-4.078785252E-8,0.2618093392,-0.102637319,376.991933,0.9364482278,3.676301722,0.8854471125,1.780888903,-0.7689083809,1.006749719,-1.895097614E-5,0.4670837355,-0.01755579101,2.997346145,1.173181292,0.1256253223,0.03863695095,0.9594705828,-0.7693998606
0.0028,-4.380519216E-8,0.2617903654,-0.1026374641,376.991922,0.9360122307,3.676139428,0.8855714514,1.7807774,-0.7689092305,1.006725897,-2.02321311E-5,0.4670729178,-0.01756277312,2.997323137,1.173190642,0.1256136844,0.03863493272,0.9594708709,-0.7693425731
0.0029,-4.67665826E-8,0.2617701481,-0.1026377371,376.9919066,0.9355563527,3.675984235,0.8857116134,1.780668517,-0.7689099795,1.006704013,-2.148726822E-5,0.4670628927,-0.01757009749,2.997301729,1.17319859,0.1256017627,0.03863299648,0.9594711187,-0.769282648
0.003,-4.966783278E-8,0.2617487919,-0.1026381366,376.9918868,0.9350830226,3.675836986,0.8858669023,1.780562864,-0.7689106238,1.006684196,-2.271457819E-5,0.467053719,-0.01757773578,2.997282043,1.17320509,0.1255896219,0.03863115018,0.9594713247,-0.7692204006
0.0031,-5.250476053E-8,0.261726408,-0.1026386603,376.9918627,0.934594722,3.675698543,0.8860365226,1.780460953,-0.7689111593,1.006666572,-2.391225807E-5,0.4670454531,-0.01758564718,2.997264188,1.173210102,0.1255773279,0.03862940518,0.9594714876,-0.7691561613
0.0032,-5.52731983E-8,0.2617031139,-0.1026393068,376.9918345,0.9340940152,3.675569698,0.8862196241,1.780363376,-0.7689115829,1.006651252,-2.50785142E-5,0.467038147,-0.01759379098,2.997248267,1.173213596,0.125564948,0.03862777163,0.9594716064,-0.7690902736
0.0033,-5.796900001E-8,0.2616790329,-0.1026400735,376.9918023,0.9335835749,3.675451209,0.8864153166,1.780270684,-0.7689118919,1.006638344,-2.621156543E-5,0.4670318495,-0.01760212698,2.997234371,1.173215548,0.1255525511,0.03862625885,0.9594716804,-0.7690230939
0.0034,-6.058804862E-8,0.2616542934,-0.1026409576,376.9917663,0.9330661368,3.675343807,0.8866225511,1.780183403,-0.7689120843,1.006627942,-2.730964682E-5,0.4670266049,-0.01761060822,2.997222581,1.173215943,0.1255402068,0.03862487735,0.959471709,-0.7689549885
0.0035,-6.31262644E-8,0.2616290289,-0.102641956,376.9917266,0.9325445171,3.675248153,0.8868402992,1.780102074,-0.7689121587,1.00662013,-2.837101357E-5,0.4670224533,-0.01761919681,2.997212969,1.173214776,0.1255279858,0.03862363415,0.959471692,-0.7688863336
