"Time","Subsystem #1|CTLs|Vars|I1070_rms","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V101RMS","Subsystem #1|CTLs|Vars|V1070_rms","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0016,-7.339684341E-9,0.2619135203,-0.1026433347,376.9917888,0.9393255886,3.678174904,0.8851927209,1.78205451,-0.7688951489,1.007073669,-4.62493502E-6,0.4672260498,-0.01751076458,2.997643383,1.173019097,0.1257156454,0.0386600343,0.9594657524,-0.7697761666
0.0017,-1.069053965E-8,0.2619116598,-0.1026421716,376.9918223,0.9392013189,3.677992989,0.8851321626,1.781949829,-0.7688966715,1.007038677,-6.06899081E-6,0.4672109704,-0.01751260798,2.997612394,1.173038658,0.1257100396,0.03865779007,0.9594663264,-0.7697601023
0.0018,-1.402847547E-8,0.2619079382,-0.1026411268,376.9918519,0.9390408246,3.677808604,0.8850898235,1.781841891,-0.7688981637,1.007004006,-7.505675246E-6,0.4671959702,-0.01751503763,2.997581423,1.173057657,0.1257036549,0.03865551863,0.9594668855,-0.7697392705
0.0019,-1.734937238E-8,0.2619023748,-0.1026402031,376.9918775,0.9388449532,3.677622702,0.8850658676,1.78173118,-0.7688996174,1.006969825,-8.93320196E-6,0.4671811229,-0.01751803938,2.997550641,1.173075992,0.1256965231,0.03865323118,0.9594674267,-0.7697137761
0.002,-2.064910122E-8,0.2618949983,-0.1026394037,376.9918989,0.9386146872,3.677436206,0.8850604046,1.78161827,-0.7689010245,1.006936302,-1.034978E-5,0.4671665014,-0.01752159748,2.997520214,1.173093561,0.1256886797,0.0386509383,0.959467947,-0.769683747
0.0021,-2.392352218E-8,0.2618858461,-0.1026387307,376.9919161,0.9383512578,3.67725005,0.8850733939,1.781503728,-0.7689023773,1.006903601,-1.175361364E-5,0.4671521778,-0.01752569684,2.997490308,1.173110269,0.1256801642,0.03864864977,0.9594684435,-0.7696493338
0.0022,-2.716848449E-8,0.2618749646,-0.1026381856,376.9919289,0.9380559434,3.677065177,0.8851047831,1.781388112,-0.7689036683,1.006871887,-1.314290244E-5,0.4671382243,-0.01753031725,2.997461086,1.173126025,0.1256710196,0.03864637632,0.9594689135,-0.7696107099
0.0023,-3.037982637E-8,0.2618624086,-0.1026377695,376.9919373,0.9377303368,3.676882527,0.8851543775,1.781272005,-0.7689048903,1.006841321,-1.451584146E-5,0.4671247112,-0.01753543503,2.997432706,1.173140742,0.125661292,0.03864412883,0.9594693544,-0.7695680697
0.0024,-3.355337573E-8,0.2618482418,-0.1026374831,376.9919413,0.9373760183,3.676703024,0.8852219154,1.781156005,-0.7689060366,1.00681206,-1.587062182E-5,0.4671117087,-0.01754103144,2.997405325,1.173154339,0.1256510318,0.03864191618,0.9594697636,-0.7695216298
0.0025,-3.668495132E-8,0.2618325357,-0.1026373262,376.9919407,0.9369948553,3.676527627,0.8853070228,1.781040651,-0.7689071006,1.006784259,-1.720543142E-5,0.4670992851,-0.01754707896,2.99737909,1.173166739,0.1256402918,0.03863974946,0.9594701389,-0.769471627
0.0026,-3.977036449E-8,0.2618153701,-0.1026372991,376.9919357,0.9365887719,3.676357245,0.8854092977,1.780926553,-0.7689080763,1.006758067,-1.851845606E-5,0.467087507,-0.01755354648,2.997354147,1.173177873,0.1256291277,0.03863763984,0.9594704781,-0.7694183174
0.0027,-4.280542173E-8,0.2617968328,-0.1026374014,376.9919262,0.9361598787,3.67619278,0.8855282222,1.780814306,-0.7689089583,1.006733629,-1.980788084E-5,0.4670764387,-0.0175604056,2.997330633,1.173187679,0.1256175982,0.03863559694,0.9594707793,-0.7693619762
0.0028,-4.578592787E-8,0.2617770187,-0.1026376319,376.9919122,0.9357103581,3.676035124,0.885663187,1.780704484,-0.7689097414,1.006711084,-2.107189184E-5,0.4670661427,-0.01756761842,2.997308678,1.1731961,0.1256057639,0.03863363259,0.9594710407,-0.769302896
0.0029,-4.870769008E-8,0.2617560302,-0.1026379894,376.9918939,0.9352426044,3.675885128,0.8858134988,1.780597699,-0.768910421,1.006690564,-2.230867823E-5,0.4670566787,-0.01757515735,2.997288405,1.173203088,0.125593689,0.03863175474,0.9594712608,-0.7692413868
0.003,-5.156652254E-8,0.2617339761,-0.1026384717,376.9918712,0.9347590012,3.675743663,0.8859784325,1.780494468,-0.7689109932,1.006672196,-2.351643463E-5,0.4670481043,-0.01758298218,2.997269928,1.1732086,0.1255814387,0.03862997485,0.9594714382,-0.7691777739
0.0031,-5.435825216E-8,0.261710972,-0.1026390775,376.9918444,0.9342621326,3.675611533,0.8861571438,1.780395385,-0.7689114544,1.006656096,-2.469336393E-5,0.4670404726,-0.01759105284,2.997253352,1.173212602,0.1255690798,0.0386283031,0.9594715718,-0.7691123967
0.0032,-5.707872495E-8,0.2616871393,-0.1026398045,376.9918135,0.9337546372,3.675489508,0.886348738,1.780301005,-0.7689118019,1.006642373,-2.583768045E-5,0.4670338337,-0.01759932966,2.997238771,1.17321507,0.1255566809,0.03862674894,0.9594716608,-0.7690456074
0.0033,-5.972381325E-8,0.2616626047,-0.1026406498,376.9917787,0.9332392244,3.675378333,0.8865522354,1.780211861,-0.7689120333,1.006631125,-2.694761339E-5,0.4670282336,-0.01760776939,2.997226271,1.173215986,0.1255443114,0.03862532215,0.9594717046,-0.7689777695
0.0034,-6.228942393E-8,0.2616375001,-0.1026416105,376.9917402,0.932718684,3.6752787,0.8867666076,1.780128476,-0.7689121471,1.006622441,-2.80214108E-5,0.4670237135,-0.01761632551,2.997215926,1.17321534,0.1255320413,0.03862403249,0.9594717027,-0.7689092555
0.0035,-6.477150727E-8,0.2616119616,-0.1026426831,376.9916981,0.9321958589,3.675191244,0.8869907498,1.780051373,-0.7689121423,1.006616397,-2.905734373E-5,0.4670203105,-0.01762495798,2.997207799,1.173213131,0.1255199417,0.03862288714,0.9594716552,-0.7688404468
0.0036,-6.716606685E-8,0.261586129,-0.1026438634,376.9916527,0.9316736815,3.675116584,0.887223484,1.779980976,-0.7689120186,1.006613058,-3.005371086E-5,0.4670180561,-0.01763361873,2.997201941,1.173209368,0.1255080827,0.03862189508,0.959471562,-0.76877173
0.0037,-6.946917007E-8,0.2615601454,-0.1026451479,376.9916042,0.9311550427,3.675055247,0.887463646,1.779917761,-0.7689117764,1.006612474,-3.100884341E-5,0.467016976,-0.01764225768,2.997198391,1.173204067,0.1254965342,0.03862106475,0.9594714236,-0.7687034956
0.0038,-7.167695951E-8,0.2615341561,-0.1026465318,376.9915528,0.9306428349,3.675007695,0.8877099059,1.779862153,-0.7689114166,1.006614679,-3.192111033E-5,0.4670170895,-0.0176508287,2.997197176,1.173197254,0.1254853652,0.0386204025,0.9594712407,-0.7686361358
0.0039,-7.378566507E-8,0.261508308,-0.10264801,376.9914988,0.9301400479,3.674974333,0.8879610094,1.779814527,-0.7689109411,1.006619695,-3.278892384E-5,0.46701841,-0.01765927799,2.99719831,1.173188961,0.1254746428,0.03861991612,0.9594710142,-0.7685700417
0.004,-7.579161651E-8,0.261482749,-0.102649577,376.9914426,0.9296495841,3.674955472,0.8882155845,1.779775261,-0.7689103521,1.006627526,-3.361074508E-5,0.4670209435,-0.0176675637,2.997201794,1.173179232,0.1254644333,0.0386196089,0.9594707453,-0.7685056024
0.0041,-7.769125681E-8,0.2614576268,-0.102651226,376.9913843,0.929174294,3.674951388,0.8884722325,1.779744605,-0.7689096528,1.00663816,-3.438509012E-5,0.4670246897,-0.01767563354,2.997207616,1.173168117,0.1254547998,0.03861948679,0.9594704353,-0.7684432013
