"Time","Subsystem #1|CTLs|Vars|AngPLLM1","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|ISTATA1M1","Subsystem #1|Machines|M1|ISTATB1M1","Subsystem #1|Machines|M1|ISTATC1M1","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1","Subsystem #1|Node Voltages|S1) V107A","Subsystem #1|Node Voltages|S1) V107B","Subsystem #1|Node Voltages|S1) V107C"
0.0,1.480526795,-0.008726204793,-0.01068737457,0.2290535742,0.2805321902,376.9908863,0.1254081876,0.03862398124,-0.7689006974,0.1121960702,0.1374115615,0.3647928052,0.4467781173,0.2086301092,-0.186520094,-0.02210979604,0.1254049289,0.03862537356,0.9594667418,-0.7680596067,0.3801371392,-0.2198968661,-0.1601447234
1.0E-4,1.518225881,-0.008731813812,-0.01069424418,0.229042564,0.2805187056,376.9908254,0.1254050076,0.03862537407,-0.7688992439,0.1121965093,0.1374120994,0.3648041672,0.4467920329,0.2120486419,-0.1813624223,-0.03068599877,0.1254027145,0.03862694019,0.9594661645,-0.7680306505,0.3811789421,-0.2079919553,-0.1730908631
2.0E-4,1.555924961,-0.008736952845,-0.01070053819,0.2290328706,0.2805068337,376.9907661,0.1254027932,0.03862694071,-0.7688977429,0.112197647,0.1374134927,0.3648159492,0.4468064628,0.2151674213,-0.175948481,-0.03921871815,0.1254014818,0.03862867286,0.9594655723,-0.768006713,0.3816798355,-0.1957906375,-0.1857926433
3.0E-4,1.593624034,-0.008741589296,-0.01070621666,0.2290245576,0.2804966523,376.9907087,0.1254015604,0.03862867338,-0.7688962031,0.1121994819,0.13741574,0.3648280766,0.4468213157,0.2179821009,-0.1702858464,-0.04769603132,0.1254012399,0.03863056246,0.9594649686,-0.7679879538,0.3816389364,-0.1833100984,-0.1982319964
4.0E-4,1.631323102,-0.008745693012,-0.01071124266,0.2290176797,0.2804882287,376.9906536,0.1254013186,0.03863056298,-0.7688946335,0.1122020021,0.1374188267,0.3648404741,0.4468364995,0.2204887435,-0.1643824286,-0.05610609106,0.1254019925,0.03863259646,0.959464357,-0.767974501,0.3810561213,-0.1705679285,-0.2103912091
5.0E-4,1.669022165,-0.008749236536,-0.01071558258,0.2290122829,0.280481619,376.990601,0.1254020712,0.03863259698,-0.7688930434,0.112205196,0.1374227384,0.3648530613,0.4468519157,0.2226838269,-0.1582464638,-0.06443713887,0.1254037358,0.03863476314,0.9594637411,-0.7679664476,0.3799320297,-0.1575821048,-0.222252944
6.0E-4,1.706721223,-0.008752196342,-0.01071920758,0.2290084038,0.2804768681,376.9905514,0.1254038144,0.03863476366,-0.7688914421,0.1122090478,0.1374274558,0.3648657555,0.4468674628,0.2245642471,-0.151886503,-0.07267751993,0.1254064592,0.03863704961,0.9594631246,-0.7679638515,0.3782680655,-0.1443709716,-0.233800261
7.0E-4,1.744420276,-0.008754551914,-0.01072209256,0.229006069,0.2804740086,376.990505,0.1254065378,0.03863705012,-0.768889839,0.1122135327,0.1374329487,0.3648784732,0.4468830388,0.2261273229,-0.1453114023,-0.08081569677,0.1254101457,0.0386394403,0.959462511,-0.767966735,0.3760663984,-0.1309532074,-0.2450166507
8.0E-4,1.782119324,-0.008756286042,-0.01072421642,0.2290052951,0.2804730607,376.9904622,0.1254102243,0.03863944081,-0.7688882437,0.1122186275,0.1374391885,0.364891129,0.4468985388,0.2273707994,-0.1385303138,-0.08884026251,0.1254147715,0.03864192083,0.959461904,-0.7679750834,0.373329965,-0.117347815,-0.2558860465
9.0E-4,1.819818368,-0.008757385729,-0.01072556326,0.2290060884,0.2804740323,376.9904231,0.1254148501,0.03864192135,-0.7688866655,0.1122242942,0.1374461288,0.3649036401,0.4469138618,0.2282928518,-0.131552674,-0.09673995569,0.1254203074,0.03864447216,0.9594613072,-0.7679888469,0.3700624661,-0.1035740781,-0.2663928644
0.001,1.857517409,-0.008757841157,-0.01072612104,0.2290084447,0.2804769181,376.9903882,0.125420386,0.03864447268,-0.7688851139,0.1122304994,0.1374537285,0.3649159229,0.4469289051,0.2288920887,-0.1243881953,-0.1045036725,0.1254267175,0.0386470781,0.9594607241,-0.7680079394,0.366268364,-0.08965154422,-0.2765220181
0.0011,1.895216446,-0.008757647793,-0.01072588422,0.2290123496,0.2804817006,376.9903575,0.1254267961,0.03864707861,-0.7688835979,0.1122372034,0.1374619392,0.3649278948,0.4469435675,0.2291675549,-0.1170468532,-0.1121204826,0.12543396,0.03864972077,0.9594601582,-0.7680322393,0.3619528807,-0.07559999767,-0.2862589439
