"Time","Subsystem #1|CTLs|Vars|AngPLLM1","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|ISTATA1M1","Subsystem #1|Machines|M1|ISTATB1M1","Subsystem #1|Machines|M1|ISTATC1M1","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1","Subsystem #1|Node Voltages|S1) V107A","Subsystem #1|Node Voltages|S1) V107B","Subsystem #1|Node Voltages|S1) V107C"
0.0012,0.1233558624,0.2138455623,0.2619062557,-0.08381053996,-0.102646529,376.9916675,0.1257300797,0.03866847041,-0.7688921269,0.3815282683,0.4672747898,-0.01429600092,-0.01750895381,-0.04843201974,-0.1702246785,0.2186566997,0.1257277509,0.03866642887,0.9594646057,-0.7697965995,0.04707017559,-0.3516451456,0.3045791876
0.0013,0.1610550314,0.2138486232,0.2619100045,-0.08380932154,-0.1026450367,376.9917115,0.1257278298,0.03866642939,-0.76889369,0.3815161213,0.4672599129,-0.01429604102,-0.01750900292,-0.03993394797,-0.1759175221,0.2158514798,0.1257246341,0.03866432323,0.959465205,-0.7697952299,0.06131472407,-0.3569858299,0.2956788836
0.0014,0.1987542046,0.2138501615,0.2619118885,-0.08380818887,-0.1026436495,376.9917522,0.1257247131,0.03866432375,-0.7688952481,0.3815038595,0.4672448953,-0.01429657654,-0.01750965879,-0.03137947499,-0.1813588414,0.2127383344,0.1257206669,0.03866216022,0.959465799,-0.769788921,0.07547075635,-0.3618187685,0.2863593408
0.0015,0.2364533816,0.2138501707,0.2619118998,-0.08380714551,-0.1026423716,376.9917894,0.1257207459,0.03866216074,-0.7688967925,0.3814915431,0.4672298109,-0.01429760112,-0.01751091365,-0.02278093071,-0.1865408603,0.2093218172,0.1257158689,0.03865995121,0.9594663845,-0.7697777064,0.08951819401,-0.366137237,0.2766339088
0.0016,0.2741525623,0.2138486518,0.2619100396,-0.08380619581,-0.1026412085,376.9918229,0.1257159479,0.03865995173,-0.768898315,0.3814792315,0.4672147323,-0.01429910884,-0.01751276022,-0.01415070048,-0.1914561903,0.2056069252,0.1257102638,0.03865770621,0.9594669584,-0.7697616433,0.1034371271,-0.3699352462,0.2665165041
0.0017,0.311851746,0.2138456134,0.2619063183,-0.08380534278,-0.1026401638,376.9918525,0.1257103428,0.03865770673,-0.768899807,0.3814669847,0.4671997331,-0.01430109284,-0.01751519011,-0.005501206512,-0.1960978408,0.2015990898,0.1257038797,0.03865543505,0.9594675174,-0.7697408131,0.1172078461,-0.3732075486,0.2560215841
0.0018,0.3495509326,0.2138410714,0.2619007555,-0.08380458897,-0.1026392405,376.9918781,0.1257039587,0.03865543557,-0.7689012605,0.3814548624,0.4671848863,-0.01430354063,-0.01751818803,0.003155111432,-0.200459229,0.1973041681,0.125696748,0.03865314886,0.9594680586,-0.7697153199,0.1308108587,-0.3759496432,0.2451641359
0.0019,0.3872501214,0.213835049,0.2618933796,-0.0838039366,-0.1026384416,376.9918995,0.1256968269,0.03865314937,-0.7689026674,0.3814429243,0.4671702652,-0.01430644587,-0.01752174621,0.01180581605,-0.2045341895,0.192728432,0.125688905,0.03865085588,0.9594685788,-0.7696852923,0.1442269306,-0.3781577825,0.2339596421
0.002,0.4249493122,0.2138275769,0.2618842282,-0.08380338693,-0.1026377683,376.9919167,0.125688984,0.0386508564,-0.7689040201,0.3814312298,0.4671559425,-0.01430979311,-0.01752584573,0.02043849023,-0.2083169822,0.1878785585,0.1256803901,0.03864856737,0.9594690753,-0.7696508811,0.1574371049,-0.3798289749,0.2224240632
0.0021,0.4626485046,0.2138186928,0.2618733475,-0.08380294183,-0.1026372232,376.9919295,0.1256804691,0.03864856789,-0.7689053109,0.3814198374,0.4671419897,-0.01431356536,-0.01753046577,0.02904075772,-0.2118023005,0.1827616172,0.125671246,0.0386462941,0.9594695452,-0.7696122593,0.1704227261,-0.3809609871,0.2105738171
0.0022,0.5003476979,0.2138084417,0.2618607925,-0.08380260218,-0.1026368072,376.9919379,0.125671325,0.03864629462,-0.7689065328,0.3814088047,0.4671284775,-0.01431774643,-0.0175355865,0.03760030149,-0.2149852778,0.1773850585,0.1256615194,0.0386440459,0.959469986,-0.7695696218,0.1831654702,-0.3815523467,0.1984257511
0.0023,0.5380468919,0.2137968754,0.2618466266,-0.08380236837,-0.1026365209,376.9919418,0.1256615984,0.03864404642,-0.7689076788,0.381398189,0.4671154759,-0.01432231583,-0.01754118286,0.046104882,-0.2178614934,0.1717567013,0.12565126,0.03864183361,0.9594703952,-0.7695231849,0.1956473672,-0.3816023416,0.1859971185
0.0024,0.5757460861,0.2137840523,0.2618309217,-0.08380224072,-0.1026363645,376.9919413,0.1256513389,0.03864183413,-0.7689087427,0.3813880454,0.4671030526,-0.01432725042,-0.01754722647,0.05454235604,-0.2204269781,0.1658847195,0.1256405203,0.03863966816,0.9594707704,-0.7694731847,0.2078508211,-0.3811110214,0.1733055607
0.0025,0.6134452799,0.2137700378,0.2618137575,-0.08380221898,-0.1026363379,376.9919362,0.1256405992,0.03863966868,-0.7689097183,0.3813784288,0.4670912747,-0.01433253106,-0.01755369392,0.06290069471,-0.2226782182,0.1597776284,0.1256293568,0.03863755848,0.9594711096,-0.7694198779,0.2197586417,-0.3800791942,0.1603690714
0.0026,0.6511444731,0.2137549032,0.2617952214,-0.08380230236,-0.10263644,376.9919267,0.1256294357,0.038637559,-0.7689106001,0.381369392,0.467080207,-0.01433813161,-0.01756055316,0.07116800029,-0.2246121594,0.1534442712,0.125617828,0.0386355156,0.9594714107,-0.7693635399,0.2313540642,-0.3785084247,0.1472059754
0.0027,0.6888436651,0.2137387262,0.2617754088,-0.08380249056,-0.1026366705,376.9919128,0.1256179069,0.03863551612,-0.7689113831,0.3813609859,0.4670699117,-0.01434402302,-0.01756776863,0.07933252448,-0.2262262092,0.146893804,0.1256059948,0.03863355066,0.9594716721,-0.7693044633,0.2426207672,-0.3764010304,0.1338349077
0.0028,0.7265428554,0.2137215903,0.2617544216,-0.0838027826,-0.1026370282,376.9918944,0.1256060737,0.03863355117,-0.7689120626,0.3813532592,0.4670604483,-0.0143501786,-0.01757530764,0.08738268526,-0.2275182392,0.1401356803,0.1255939207,0.03863167312,0.9594718921,-0.7692429578,0.2535429022,-0.3737600771,0.1202747777
0.0029,0.7642420437,0.2137035845,0.2617323691,-0.0838031769,-0.1026375111,376.9918718,0.1255939996,0.03863167364,-0.7689126346,0.3813462583,0.4670518741,-0.01435656405,-0.01758312819,0.09530708257,-0.2284865862,0.1331796368,0.1255816707,0.03862989462,0.9594720694,-0.7691793483,0.2641051021,-0.3705893755,0.106544759
0.003,0.8019412296,0.213684803,0.2617093666,-0.08380367203,-0.1026381175,376.991845,0.1255817496,0.03862989514,-0.7689130957,0.381340027,0.4670442424,-0.01436315361,-0.01759119872,0.1030945153,-0.2291300524,0.1260356769,0.1255693125,0.03862822282,0.959472203,-0.7691139746,0.2742925157,-0.366893472,0.09266424491
0.0031,0.8396404125,0.213665345,0.2616855355,-0.08380426549,-0.1026388444,376.9918141,0.1255693913,0.03862822334,-0.7689134431,0.3813346067,0.4670376038,-0.01436991142,-0.01759947531,0.1107339953,-0.2294479054,0.1187140564,0.1255569143,0.03862666879,0.959472292,-0.7690471889,0.284090818,-0.362677642,0.0786528314
0.0032,0.8773395922,0.213645314,0.2616610026,-0.08380495578,-0.1026396898,376.9917793,0.1255569932,0.03862666931,-0.7689136744,0.3813300344,0.4670320039,-0.01437680192,-0.01760791442,0.1182147634,-0.2294398768,0.111225266,0.1255445456,0.03862524222,0.9594723358,-0.7689793547,0.2934862298,-0.3579478834,0.06453029121
0.0033,0.9150387682,0.2136248175,0.2616358997,-0.08380574032,-0.1026406506,376.9917408,0.1255446245,0.03862524274,-0.7689137881,0.3813263441,0.4670274843,-0.01438379009,-0.01761647315,0.1255263036,-0.2291061606,0.1035800156,0.1255322766,0.03862395193,0.9594723339,-0.7689108449,0.3024655372,-0.3527109057,0.05031654363
0.0034,0.9527379402,0.2136039668,0.2616103629,-0.08380661623,-0.1026417234,376.9916987,0.1255323554,0.03862395245,-0.7689137833,0.3813235658,0.4670240816,-0.01439083823,-0.01762510532,0.1326583566,-0.2284474105,0.09578921838,0.1255201777,0.03862280697,0.9594722863,-0.7688420403,0.3110161083,-0.3469741206,0.03603162799
