"Time","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0033,0.2611628824,-0.102508588,376.9908338,-0.7692066192,0.4679617231,-0.01769875531,0.1255743337,0.03864344199,0.9595847956,-0.7689546385
0.0034,0.261163232,-0.1025108806,376.9908187,-0.7692061837,0.4679667717,-0.01769794655,0.1255760954,0.03864512145,0.9595846321,-0.768960184
0.0035,0.2611641351,-0.1025130853,376.9908054,-0.7692057586,0.4679717828,-0.01769687147,0.1255780751,0.03864680194,0.9595844734,-0.768967109
0.0036,0.2611655866,-0.1025151901,376.9907938,-0.7692053461,0.46797673,-0.01769554121,0.1255802627,0.03864847286,0.9595843206,-0.7689753761
0.0037,0.2611675784,-0.1025171831,376.990784,-0.7692049487,0.4679815876,-0.01769396143,0.1255826463,0.03865012601,0.9595841743,-0.7689849407
0.0038,0.2611700997,-0.1025190545,376.9907761,-0.7692045684,0.4679863299,-0.017692138,0.1255852131,0.03865175326,0.9595840355,-0.7689957511
0.0039,0.2611731367,-0.102520794,376.9907701,-0.7692042075,0.4679909314,-0.01769008281,0.1255879494,0.03865334518,0.9595839049,-0.769007749
0.004,0.2611766732,-0.1025223921,376.990766,-0.769203868,0.4679953679,-0.01768780175,0.1255908402,0.03865489472,0.9595837833,-0.7690208697
0.0041,0.2611806901,-0.1025238405,376.990764,-0.7692035517,0.4679996151,-0.01768531417,0.1255938705,0.03865639127,0.9595836712,-0.7690350428
0.0042,0.2611851658,-0.1025251304,376.9907638,-0.7692032604,0.4680036509,-0.01768262997,0.1255970238,0.03865782809,0.9595835695,-0.7690501922
0.0043,0.2611900763,-0.1025262557,376.9907657,-0.7692029958,0.4680074528,-0.01767976215,0.1256002829,0.03865919765,0.9595834786,-0.7690662359
0.0044,0.2611953952,-0.1025272101,376.9907695,-0.7692027594,0.4680109998,-0.01767672695,0.1256036302,0.03866049216,0.959583399,-0.7690830874
0.0045,0.261201094,-0.1025279881,376.9907753,-0.7692025526,0.468014272,-0.01767353639,0.125607047,0.0386617057,0.9595833312,-0.7691006548
0.0046,0.2612071417,-0.1025285854,376.990783,-0.7692023764,0.4680172507,-0.017670214,0.1256105151,0.03866282952,0.9595832757,-0.769118843
0.0047,0.2612135059,-0.1025289979,376.9907926,-0.769202232,0.4680199192,-0.0176667749,0.1256140152,0.03866385846,0.9595832327,-0.7691375526
0.0048,0.2612201517,-0.1025292238,376.990804,-0.7692021202,0.4680222614,-0.01766323589,0.1256175277,0.03866478713,0.9595832025,-0.769156681
0.0049,0.2612270431,-0.1025292616,376.9908172,-0.7692020416,0.4680242629,-0.01765961753,0.1256210331,0.0386656097,0.9595831852,-0.7691761228
0.005,0.2612341425,-0.1025291103,376.9908321,-0.7692019967,0.4680259115,-0.01765593831,0.1256245117,0.0386663218,0.959583181,-0.7691957704
0.0051,0.2612414107,-0.1025287707,376.9908486,-0.7692019859,0.468027196,-0.01765221608,0.1256279433,0.03866691968,0.95958319,-0.7692155139
0.0052,0.2612488076,-0.102528244,376.9908666,-0.7692020092,0.4680281089,-0.01764847676,0.1256313094,0.03866739817,0.9595832121,-0.769235244
0.0053,0.2612562923,-0.1025275322,376.990886,-0.7692020666,0.46802864,-0.01764473903,0.1256345897,0.03866775473,0.9595832471,-0.7692548484
0.0054,0.2612638232,-0.1025266393,376.9909068,-0.7692021578,0.4680287867,-0.01764102157,0.1256377655,0.03866798775,0.959583295,-0.7692742165
0.0055,0.2612713576,-0.1025255698,376.9909289,-0.7692022822,0.4680285463,-0.01763734814,0.1256408186,0.03866809455,0.9595833555,-0.7692932384
0.0056,0.2612788533,-0.1025243288,376.990952,-0.7692024394,0.4680279169,-0.01763373425,0.1256437305,0.03866807548,0.9595834281,-0.7693118045
0.0057,0.2612862678,-0.102522923,376.9909761,-0.7692026283,0.4680269003,-0.01763020832,0.1256464847,0.03866792774,0.9595835126,-0.7693298081
0.0058,0.2612935587,-0.1025213589,376.991001,-0.769202848,0.4680255003,-0.01762678738,0.1256490644,0.03866765289,0.9595836085,-0.7693471447
0.0059,0.2613006842,-0.1025196456,376.9910266,-0.7692030974,0.468023723,-0.01762349063,0.1256514543,0.03866725206,0.9595837153,-0.7693637131
0.006,0.2613076032,-0.1025177922,376.9910528,-0.7692033749,0.468021576,-0.01762033847,0.1256536398,0.03866672658,0.9595838323,-0.7693794158
0.0061,0.2613142755,-0.1025158085,376.9910793,-0.7692036791,0.4680190703,-0.0176173491,0.1256556077,0.03866607911,0.9595839589,-0.7693941599
0.0062,0.261320662,-0.1025137054,376.9911062,-0.7692040082,0.4680162181,-0.01761453789,0.1256573454,0.03866531339,0.9595840944,-0.7694078572
0.0063,0.2613267252,-0.1025114944,376.9911331,-0.7692043605,0.4680130347,-0.01761192746,0.1256588427,0.0386644316,0.959584238,-0.7694204259
0.0064,0.2613324292,-0.1025091873,376.99116,-0.7692047338,0.4680095371,-0.01760953226,0.1256600902,0.03866343899,0.9595843889,-0.7694317901
0.0065,0.2613377401,-0.1025067975,376.9911868,-0.7692051262,0.4680057449,-0.01760736483,0.1256610798,0.03866234146,0.9595845462,-0.7694418806
0.0066,0.261342626,-0.1025043385,376.9912131,-0.7692055353,0.4680016784,-0.01760544098,0.125661805,0.03866114414,0.9595847091,-0.7694506354
0.0067,0.2613470576,-0.1025018241,376.9912389,-0.7692059589,0.4679973614,-0.01760376819,0.1256622608,0.03865985498,0.9595848766,-0.7694580001
0.0068,0.2613510077,-0.1024992688,376.9912641,-0.7692063945,0.467992818,-0.01760236459,0.1256624446,0.0386584788,0.9595850478,-0.7694639289
0.0069,0.2613544525,-0.1024966866,376.9912885,-0.7692068395,0.4679880757,-0.01760123634,0.1256623547,0.03865702461,0.9595852217,-0.7694683845
0.007,0.2613573706,-0.1024940932,376.9913119,-0.7692072915,0.4679831617,-0.0176003899,0.1256619912,0.03865550086,0.9595853972,-0.7694713379
0.0071,0.2613597439,-0.1024915036,376.9913343,-0.7692077478,0.4679781053,-0.01759983232,0.1256613559,0.03865391593,0.9595855733,-0.7694727694
0.0072,0.2613615576,-0.1024889328,376.9913554,-0.7692082058,0.4679729372,-0.017599567,0.1256604526,0.03865227929,0.9595857491,-0.7694726689
0.0073,0.2613628001,-0.1024863962,376.9913752,-0.7692086629,0.4679676875,-0.01759959341,0.1256592859,0.03865060113,0.9595859235,-0.7694710344
0.0074,0.2613634635,-0.1024839086,376.9913935,-0.7692091163,0.4679623887,-0.01759991752,0.1256578633,0.0386488897,0.9595860955,-0.7694678748
0.0075,0.261363543,-0.1024814844,376.9914103,-0.7692095635,0.4679570735,-0.01760053651,0.1256561933,0.03864715585,0.9595862641,-0.7694632079
0.0076,0.2613630377,-0.1024791385,376.9914253,-0.7692100019,0.467951774,-0.0176014444,0.1256542857,0.03864541063,0.9595864283,-0.7694570604
0.0077,0.2613619503,-0.1024768851,376.9914386,-0.7692104288,0.4679465225,-0.01760263838,0.1256521519,0.03864366373,0.9595865872,-0.7694494686
0.0078,0.2613602867,-0.1024747375,376.9914501,-0.769210842,0.4679413511,-0.01760410645,0.1256498045,0.03864192708,0.9595867399,-0.7694404769
0.0079,0.2613580569,-0.1024727086,376.9914596,-0.7692112389,0.4679362912,-0.01760584732,0.1256472582,0.03864020885,0.9595868854,-0.7694301393
0.008,0.2613552738,-0.1024708101,376.9914672,-0.7692116172,0.4679313744,-0.01760784727,0.1256445283,0.03863852069,0.9595870229,-0.7694185177
0.0081,0.2613519541,-0.1024690541,376.9914727,-0.7692119748,0.46792663,-0.01761009293,0.1256416309,0.03863687304,0.9595871517,-0.7694056814
0.0082,0.2613481177,-0.102467451,376.9914762,-0.7692123096,0.4679220871,-0.01761257216,0.1256385837,0.03863527541,0.959587271,-0.7693917077
0.0083,0.2613437874,-0.1024660103,376.9914777,-0.7692126197,0.4679177728,-0.01761526553,0.1256354045,0.03863373864,0.95958738,-0.7693766798
0.0084,0.2613389894,-0.1024647407,376.991477,-0.7692129032,0.4679137125,-0.01761816298,0.1256321129,0.03863226994,0.9595874783,-0.769360688
0.0085,0.2613337525,-0.1024636492,376.9914743,-0.7692131587,0.4679099308,-0.01762124446,0.1256287284,0.03863087914,0.9595875652,-0.769343828
0.0086,0.2613281079,-0.1024627428,376.9914695,-0.7692133846,0.4679064495,-0.01762448934,0.1256252708,0.03862957496,0.9595876402,-0.7693262003
0.0087,0.2613220895,-0.1024620268,376.9914627,-0.7692135796,0.4679032885,-0.01762787946,0.1256217607,0.0386283646,0.9595877029,-0.7693079096
0.0088,0.2613157333,-0.102461505,376.9914539,-0.7692137427,0.4679004657,-0.01763139295,0.1256182186,0.03862725559,0.959587753,-0.7692890643
0.0089,0.2613090771,-0.1024611805,376.9914432,-0.7692138729,0.4678979965,-0.01763500638,0.1256146648,0.03862625485,0.9595877902,-0.7692697754
0.009,0.2613021605,-0.1024610547,376.9914306,-0.7692139696,0.467895894,-0.01763870308,0.1256111204,0.03862536657,0.9595878142,-0.7692501563
0.0091,0.2612950243,-0.1024611276,376.9914162,-0.7692140322,0.4678941693,-0.01764245963,0.1256076059,0.03862459637,0.9595878251,-0.769230322
0.0092,0.2612877107,-0.1024613989,376.9914001,-0.7692140604,0.4678928307,-0.01764625107,0.1256041409,0.03862394919,0.9595878227,-0.7692103877
0.0093,0.2612802624,-0.1024618666,376.9913824,-0.7692140541,0.4678918837,-0.01765005743,0.1256007454,0.03862342765,0.959587807,-0.7691904687
0.0094,0.261272723,-0.1024625272,376.9913632,-0.7692140134,0.4678913321,-0.01765385147,0.125597438,0.03862303583,0.9595877782,-0.7691706792
0.0095,0.2612651361,-0.1024633766,376.9913426,-0.7692139385,0.4678911765,-0.01765761866,0.1255942378,0.03862277319,0.9595877365,-0.7691511325
0.0096,0.2612575458,-0.1024644085,376.9913208,-0.7692138301,0.4678914162,-0.01766133415,0.1255911625,0.03862264201,0.9595876821,-0.76913194
0.0097,0.2612499953,-0.1024656172,376.9912978,-0.7692136886,0.4678920473,-0.01766497575,0.1255882287,0.03862264269,0.9595876153,-0.7691132097
0.0098,0.2612425278,-0.1024669949,376.9912738,-0.769213515,0.4678930638,-0.01766852409,0.1255854526,0.03862277428,0.9595875366,-0.7690950466
0.0099,0.2612351857,-0.1024685329,376.991249,-0.7692133103,0.4678944578,-0.01767195858,0.1255828491,0.03862303567,0.9595874464,-0.7690775518
0.01,0.2612280104,-0.1024702221,376.9912235,-0.7692130758,0.467896217,-0.01767525795,0.1255804314,0.03862342512,0.9595873452,-0.7690608207
0.0101,0.2612210418,-0.1024720519,376.9911974,-0.7692128127,0.4678983352,-0.01767840906,0.1255782141,0.03862393883,0.9595872336,-0.7690449475
0.0102,0.2612143186,-0.102474011,376.9911709,-0.7692125226,0.4679007946,-0.01768139421,0.1255762082,0.03862457332,0.9595871123,-0.7690300181
0.0103,0.2612078785,-0.1024760883,376.9911441,-0.7692122073,0.4679035787,-0.01768419454,0.1255744235,0.03862532517,0.959586982,-0.7690161125
