"",Time,theta,Id,Idrms,Iq,Iqrms,Ws,p_test,q_test,Tmpu,Vd,Vdrms,Vq,Vqrms,Ia,Ib,Ic,ph,qh,Wr,Te,Va,Vb,Vc,phCalcPeak,phCalcRMS,qhCalcPeak,qhCalcRMS,edp,eqp,edp_dt,eqp_dt,edp_Calc,eqp_Calc
14,0.0014,2.146543,0.213358,0.261309,-0.083847,-0.102691,376.990274,0.125488,0.038664,-0.768875,0.381604,0.467367,-0.014451,-0.017699,0.222738,-0.064364,-0.158374,0.125500,0.038667,0.959457,-0.768313,0.320377,0.019882,-0.340175,0.123945,0.123945,0.043370,0.043370,0.359892,-0.057093,0.120216,0.033945,0.899492,4.533962
15,0.0015,2.184242,0.213373,0.261327,-0.083847,-0.102692,376.990280,0.125500,0.038667,-0.768874,0.381613,0.467379,-0.014445,-0.017691,0.220547,-0.056023,-0.164524,0.125511,0.038669,0.959457,-0.768369,0.312318,0.034249,-0.346484,0.123956,0.123956,0.043373,0.043373,0.359902,-0.057090,0.111035,0.035047,0.899473,4.534270
16,0.0016,2.221941,0.213389,0.261347,-0.083847,-0.102692,376.990292,0.125511,0.038669,-0.768873,0.381622,0.467390,-0.014439,-0.017684,0.218043,-0.047601,-0.170442,0.125523,0.038671,0.959456,-0.768429,0.303812,0.048568,-0.352299,0.123967,0.123967,0.043375,0.043375,0.359910,-0.057088,0.101230,0.035880,0.899452,4.534603
17,0.0017,2.259640,0.213406,0.261368,-0.083847,-0.102691,376.990308,0.125523,0.038671,-0.768872,0.381630,0.467400,-0.014432,-0.017676,0.215228,-0.039109,-0.176118,0.125536,0.038673,0.959456,-0.768491,0.294874,0.062818,-0.357612,0.123979,0.123979,0.043378,0.043378,0.359918,-0.057085,0.090883,0.036435,0.899431,4.534959
18,0.0018,2.297339,0.213424,0.261390,-0.083847,-0.102691,376.990329,0.125536,0.038673,-0.768872,0.381638,0.467409,-0.014425,-0.017667,0.212107,-0.030561,-0.181546,0.125548,0.038675,0.959456,-0.768556,0.285514,0.076979,-0.362417,0.123990,0.123990,0.043381,0.043381,0.359925,-0.057082,0.080072,0.036753,0.899410,4.535337
19,0.0019,2.335038,0.213443,0.261414,-0.083846,-0.102690,376.990355,0.125548,0.038675,-0.768871,0.381644,0.467417,-0.014418,-0.017659,0.208684,-0.021967,-0.186717,0.125561,0.038677,0.959456,-0.768622,0.275748,0.091031,-0.366705,0.124002,0.124002,0.043383,0.043383,0.359931,-0.057079,0.068877,0.036815,0.899387,4.535733
20,0.0020,2.372738,0.213463,0.261438,-0.083846,-0.102689,376.990385,0.125561,0.038677,-0.768871,0.381650,0.467423,-0.014411,-0.017650,0.204964,-0.013340,-0.191623,0.125573,0.038679,0.959456,-0.768690,0.265588,0.104954,-0.370470,0.124015,0.124015,0.043385,0.043385,0.359936,-0.057076,0.057384,0.036641,0.899365,4.536147
21,0.0021,2.410437,0.213483,0.261463,-0.083845,-0.102689,376.990419,0.125573,0.038679,-0.768870,0.381654,0.467429,-0.014404,-0.017641,0.200951,-0.004693,-0.196258,0.125586,0.038680,0.959456,-0.768758,0.255050,0.118727,-0.373708,0.124027,0.124027,0.043387,0.043387,0.359941,-0.057073,0.045673,0.036211,0.899341,4.536574
22,0.0022,2.448136,0.213504,0.261488,-0.083844,-0.102687,376.990457,0.125586,0.038680,-0.768870,0.381657,0.467433,-0.014397,-0.017632,0.196652,0.003963,-0.200615,0.125598,0.038682,0.959456,-0.768827,0.244148,0.132332,-0.376413,0.124039,0.124039,0.043389,0.043389,0.359944,-0.057070,0.033828,0.035528,0.899318,4.537013
23,0.0023,2.485835,0.213525,0.261514,-0.083843,-0.102686,376.990500,0.125598,0.038682,-0.768870,0.381660,0.467436,-0.014389,-0.017623,0.192072,0.012615,-0.204686,0.125610,0.038683,0.959456,-0.768896,0.232898,0.145748,-0.378582,0.124051,0.124051,0.043390,0.043390,0.359946,-0.057067,0.021924,0.034645,0.899295,4.537460
