"Time","Subsystem #1|CTLs|Vars|I1070_rms","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V101RMS","Subsystem #1|CTLs|Vars|V1070_rms","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0016,-4.179958955E-8,0.2618031567,-0.1026373511,376.9919298,0.9363053281,3.676246985,0.8854847045,1.780851529,-0.7689086777,1.006741585,-1.938080656E-5,0.4670800515,-0.01755807791,2.997338341,1.173186682,0.1256214789,0.0386362695,0.9594706843,-0.7693810799
0.0017,-4.479874543E-8,0.2617837572,-0.1026375389,376.9919173,0.9358624346,3.676086962,0.8856143969,1.780740833,-0.7689094943,1.006718394,-2.06534902E-5,0.4670694914,-0.01756517871,2.997315852,1.17319557,0.1256097395,0.03863427727,0.9594709591,-0.7693228794
0.0018,-4.774055443E-8,0.2617631484,-0.1026378542,376.9919004,0.9354004591,3.675934328,0.8857596931,1.780632956,-0.7689102088,1.006697185,-2.189955236E-5,0.4670597436,-0.01757261125,2.997295006,1.17320304,0.1255977376,0.03863237008,0.9594711931,-0.7692621445
0.0019,-5.062082785E-8,0.261741437,-0.1026382955,376.9918792,0.934921886,3.675789919,0.8859198421,1.780528493,-0.7689108172,1.006678085,-2.311718555E-5,0.4670508664,-0.01758034447,2.997275918,1.173209048,0.1255855382,0.03863055652,0.9594713849,-0.7691991958
0.002,-5.343538769E-8,0.2617187364,-0.1026388603,376.9918538,0.9344291337,3.675654586,0.8860940531,1.780427966,-0.7689113158,1.006661217,-2.430458958E-5,0.4670429147,-0.01758833852,2.997258696,1.173213557,0.125573208,0.03862884737,0.9594715332,-0.7691343682
0.0021,-5.618007281E-8,0.261695166,-0.1026395471,376.9918243,0.9339248774,3.675529111,0.8862814704,1.780331953,-0.7689117015,1.00664669,-2.545997457E-5,0.4670359396,-0.01759655072,2.99724344,1.173216539,0.1255608148,0.03862725316,0.9594716372,-0.7690680098
0.0022,-5.885074591E-8,0.2616708509,-0.1026403535,376.9917907,0.9334118035,3.675414239,0.8864811006,1.780241008,-0.7689119718,1.006634607,-2.658156437E-5,0.4670299883,-0.0176049414,2.997230238,1.173217973,0.1255484277,0.03862578274,0.9594716961,-0.7690004804
0.0023,-6.14433014E-8,0.2616459214,-0.102641276,376.9917534,0.9328926763,3.675310686,0.8866919642,1.780155645,-0.768912125,1.006625059,-2.766760028E-5,0.467025104,-0.01761346216,2.997219167,1.173217848,0.1255361166,0.03862444683,0.9594717095,-0.7689321497
0.0024,-6.395367404E-8,0.2616205122,-0.1026423119,376.9917125,0.9323702759,3.675219096,0.8869129637,1.780076405,-0.7689121598,1.006618128,-2.871634518E-5,0.4670213247,-0.01762207544,2.997210294,1.173216159,0.1255239524,0.03862325203,0.9594716771,-0.7688633965
0.0025,-6.637784849E-8,0.2615947619,-0.1026434566,376.9916682,0.9318475733,3.675140113,0.8871429934,1.780003712,-0.7689120757,1.006613881,-2.972608803E-5,0.4670186845,-0.01763073193,2.997203675,1.173212913,0.1255120054,0.03862220807,0.9594715991,-0.7687946059
