"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0019,0.2135966389,0.261601388,-0.08380673711,-0.1026418715,376.991684,0.1255283576,0.0386235349,-0.7689141559,0.3813235988,0.467024122,-0.01439322085,-0.01762802342,0.1255162521,0.03862244065,0.9594724144,-0.7688194958
0.002,0.2135754943,0.2615754913,-0.08380773018,-0.1026430877,376.9916376,0.1255163309,0.03862244117,-0.7689139925,0.3813220752,0.467022256,-0.01440028996,-0.01763668128,0.1255044896,0.03862150185,0.959472306,-0.7687509009
0.0021,0.2135542657,0.2615494917,-0.08380880644,-0.1026444059,376.9915881,0.1255045684,0.03862150236,-0.7689137109,0.3813215166,0.4670215718,-0.01440732958,-0.01764530301,0.1254930609,0.03862072679,0.9594721527,-0.7686829191
0.0022,0.2135330724,0.2615235353,-0.08380996265,-0.1026458219,376.9915358,0.1254931396,0.0386207273,-0.7689133122,0.3813219367,0.4670220864,-0.01441429911,-0.01765383891,0.1254820341,0.03862012254,0.9594719551,-0.7686159424
0.0023,0.2135120346,0.2614977693,-0.08381119447,-0.1026473306,376.991481,0.1254821129,0.03862012306,-0.7689127985,0.3813233446,0.4670238107,-0.01442115944,-0.01766224107,0.1254714765,0.0386196949,0.9594717143,-0.7685503618
0.0024,0.213491273,0.2614723416,-0.08381249709,-0.102648926,376.9914241,0.1254715553,0.03861969541,-0.7689121724,0.3813257435,0.4670267487,-0.01442786971,-0.01767045943,0.1254614528,0.03861944941,0.9594714315,-0.7684865644
0.0025,0.2134709081,0.2614473999,-0.08381386554,-0.102650602,376.9913652,0.1254615316,0.03861944993,-0.768911437,0.3813291303,0.4670308966,-0.01443438775,-0.01767844237,0.1254520253,0.03861939105,0.9594711082,-0.7684249306
0.0026,0.2134510595,0.2614230904,-0.08381529421,-0.1026523517,376.9913047,0.125452104,0.03861939156,-0.7689105964,0.3813334962,0.4670362438,-0.01444067814,-0.01768614649,0.1254432538,0.03861952156,0.9594707461,-0.7683658331
0.0027,0.2134318449,0.2613995575,-0.08381677672,-0.1026541674,376.9912431,0.1254433325,0.03861952208,-0.7689096551,0.381338826,0.4670427714,-0.01444670049,-0.01769352233,0.1254351944,0.03861984389,0.9594703474,-0.7683096328
0.0028,0.2134133798,0.2613769424,-0.0838183071,-0.1026560418,376.9911805,0.1254352731,0.03861984441,-0.7689086183,0.3813450974,0.4670504523,-0.01445241445,-0.01770052048,0.1254278989,0.03862035981,0.9594699141,-0.7682566766
0.0029,0.2133957762,0.2613553825,-0.08381987844,-0.1026579662,376.9911173,0.1254279776,0.03862036032,-0.7689074918,0.3813522816,0.4670592511,-0.01445778474,-0.01770709771,0.1254214153,0.03862106836,0.9594694487,-0.7682072951
0.003,0.2133791423,0.2613350101,-0.08382148307,-0.1026599315,376.991054,0.125421494,0.03862106888,-0.7689062819,0.3813603433,0.4670691246,-0.01446277173,-0.0177132055,0.125415786,0.03862196949,0.9594689539,-0.7681617993
0.0031,0.213363581,0.2613159516,-0.08382311322,-0.102661928,376.9909909,0.1254158647,0.03862197,-0.7689049954,0.3813692402,0.467080021,-0.0144673476,-0.01771880978,0.1254110496,0.038623058,0.9594684325,-0.7681204797
0.0032,0.2133491902,0.2612983266,-0.0838247599,-0.1026639448,376.9909283,0.1254111283,0.03862305852,-0.7689036397,0.3813789242,0.4670918814,-0.01447147808,-0.01772386856,0.1254072382,0.03862433088,0.9594678875,-0.7680836025
0.0033,0.213336061,0.2612822466,-0.08382641489,-0.1026659717,376.9908666,0.1254073168,0.0386243314,-0.7689022226,0.3813893398,0.4671046379,-0.01447513293,-0.01772834482,0.1254043779,0.03862578259,0.959467322,-0.7680514074
0.0034,0.2133242775,0.2612678148,-0.08382806881,-0.1026679974,376.9908062,0.1254044566,0.03862578311,-0.7689007524,0.381400426,0.4671182157,-0.01447828649,-0.01773220713,0.1254024893,0.03862740559,0.9594667393,-0.7680241061
0.0035,0.213313916,0.2612551246,-0.08382971185,-0.1026700097,376.9907475,0.125402568,0.0386274061,-0.7688992374,0.3814121161,0.4671325331,-0.01448091453,-0.0177354258,0.1254015862,0.03862919149,0.9594661429,-0.76800188
