"Time","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0032,0.2617380594,-0.1026687553,376.9909982,-0.7688768377,0.4674156291,-0.01755112974,0.1256998366,0.03868365402,0.9594585159,-0.769466503
0.0033,0.2617599523,-0.1026666639,376.9910606,-0.7688778566,0.4674074662,-0.0175447187,0.125706692,0.03868288857,0.9594589408,-0.7695171689
0.0034,0.2617807283,-0.1026645644,376.9911231,-0.7688789613,0.4673983947,-0.0175387661,0.1257127773,0.03868196276,0.9594593963,-0.7695642622
0.0035,0.2618002795,-0.1026624696,376.9911854,-0.7688801455,0.4673884701,-0.01753329397,0.1257180627,0.03868088539,0.9594598797,-0.7696075439
0.0036,0.2618185051,-0.1026603926,376.9912471,-0.7688814024,0.4673777501,-0.01752833388,0.1257225236,0.03867966198,0.9594603884,-0.7696467971
0.0037,0.2618353125,-0.1026583446,376.9913079,-0.7688827251,0.4673662958,-0.01752390406,0.1257261387,0.03867830203,0.9594609195,-0.7696818268
0.0038,0.2618506166,-0.1026563381,376.9913675,-0.768884106,0.4673541696,-0.01752002206,0.1257288911,0.03867681429,0.9594614701,-0.7697124598
0.0039,0.2618643411,-0.1026543836,376.9914256,-0.7688855374,0.4673414361,-0.01751670264,0.1257307678,0.03867520781,0.9594620371,-0.769738546
0.004,0.261876418,-0.1026524911,376.9914819,-0.7688870115,0.4673281621,-0.0175139625,0.1257317609,0.0386734906,0.9594626173,-0.7697599591
0.0041,0.261886788,-0.1026506697,376.991536,-0.7688885201,0.4673144158,-0.01751181149,0.1257318663,0.0386716723,0.9594632076,-0.7697765962
0.0042,0.2618954008,-0.1026489282,376.9915877,-0.7688900548,0.4673002667,-0.01751025549,0.1257310839,0.03866976286,0.9594638047,-0.7697883781
0.0043,0.2619022148,-0.1026472746,376.9916367,-0.7688916073,0.4672857849,-0.01750930166,0.1257294183,0.0386677712,0.9594644053,-0.7697952497
0.0044,0.2619071978,-0.1026457156,376.9916828,-0.7688931689,0.4672710423,-0.0175089513,0.1257268781,0.03866570746,0.9594650062,-0.7697971799
0.0045,0.2619103264,-0.1026442578,376.9917257,-0.7688947312,0.4672561106,-0.01750920261,0.125723476,0.03866358178,0.959465604,-0.7697941618
0.0046,0.2619115867,-0.1026429066,376.9917652,-0.7688962856,0.4672410629,-0.01751005811,0.1257192295,0.03866140254,0.9594661956,-0.7697862129
0.0047,0.2619109736,-0.1026416666,376.9918012,-0.7688978236,0.4672259724,-0.01751151176,0.1257141598,0.03865918023,0.9594667776,-0.7697733749
0.0048,0.2619084916,-0.1026405425,376.9918334,-0.7688993368,0.4672109125,-0.01751355335,0.1257082918,0.03865692564,0.9594673468,-0.769755713
0.0049,0.261904154,-0.1026395381,376.9918617,-0.7689008168,0.4671959562,-0.01751617539,0.1257016551,0.03865464798,0.9594679002,-0.7697333162
0.005,0.2618979834,-0.102638656,376.9918859,-0.7689022556,0.4671811769,-0.01751936037,0.1256942822,0.03865235891,0.9594684347,-0.7697062968
0.0051,0.2618900113,-0.102637899,376.9919059,-0.7689036453,0.4671666473,-0.01752310084,0.1256862108,0.03865006629,0.9594689473,-0.7696747907
0.0052,0.2618802781,-0.1026372683,376.9919216,-0.7689049781,0.4671524402,-0.01752737619,0.1256774814,0.03864778172,0.9594694352,-0.7696389563
0.0053,0.2618688331,-0.1026367661,376.991933,-0.7689062466,0.4671386266,-0.01753216552,0.125668138,0.03864551571,0.9594698957,-0.7695989739
0.0054,0.261855734,-0.1026363933,376.9919399,-0.7689074439,0.4671252771,-0.01753744761,0.1256582283,0.03864327834,0.9594703262,-0.7695550457
