"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107I","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0018,0.2291607209,0.2806634176,-0.00867696954,-0.01062707394,376.9920556,376.9913243,0.1222029838,0.04795762669,-0.7689088469,0.3813281037,0.4670296393,-0.01443846536,-0.0176834364,0.1254458031,0.03861955394,0.959470086,-0.768383216
0.0019,0.2291428523,0.2806415331,-0.008684784032,-0.0106366447,376.991946,376.991263,0.1221939378,0.04795719619,-0.7689079387,0.381333115,0.4670357769,-0.01444458182,-0.0176909275,0.1254374998,0.03861981202,0.9594696992,-0.7683260067
0.002,0.2291256717,0.2806204914,-0.008692409966,-0.01064598453,376.9918315,376.9912007,0.1221854907,0.04795702174,-0.7689069331,0.381339076,0.4670430775,-0.01445040308,-0.01769805706,0.1254299436,0.03862026323,0.9594692772,-0.7682719278
0.0021,0.229109284,0.2806004206,-0.008699803362,-0.01065503955,376.9917129,376.9911377,0.1221776959,0.047957108,-0.7689058359,0.3813459603,0.4670515091,-0.01445589252,-0.01770478022,0.125423184,0.03862090747,0.9594688223,-0.7682213156
0.0022,0.22909379,0.2805814444,-0.008706921038,-0.01066375689,376.9915906,376.9910744,0.1221706021,0.04795745878,-0.768904653,0.3813537345,0.4670610305,-0.01446101072,-0.01771104871,0.125417265,0.03862174478,0.959468337,-0.768174488
0.0023,0.2290792862,0.2805636809,-0.008713721047,-0.01067208516,376.9914655,376.9910111,0.1221642554,0.04795807351,-0.7689033913,0.3813623589,0.4670715932,-0.0144657286,-0.01771682691,0.1254122269,0.03862277073,0.9594678241,-0.7681317426
0.0024,0.2290658637,0.2805472417,-0.008720162202,-0.01067997393,376.9913382,376.9909483,0.1221586965,0.04795895225,-0.7689020579,0.3813717873,0.4670831406,-0.01447001161,-0.01772207251,0.1254081037,0.03862398255,0.9594672866,-0.768093354
0.0025,0.229053608,0.2805322316,-0.00872620595,-0.01068737598,376.9912094,376.9908863,0.1221539614,0.04796009253,-0.7689006604,0.3813819665,0.4670956076,-0.01447382828,-0.01772674696,0.1254049237,0.03862537539,0.9594667276,-0.7680595711
0.0026,0.2290425978,0.2805187469,-0.008731814985,-0.01069424562,376.9910799,376.9908254,0.1221500813,0.04796148979,-0.7688992069,0.3813928374,0.4671089216,-0.0144771523,-0.01773081803,0.1254027093,0.03862694203,0.9594661503,-0.7680306149
0.0027,0.2290329044,0.280506875,-0.008736954033,-0.01070053964,376.9909503,376.9907661,0.1221470817,0.04796313783,-0.7688977059,0.3814043351,0.4671230033,-0.01447995813,-0.01773425445,0.1254014766,0.03862867471,0.959465558,-0.7680066774
0.0028,0.2290245913,0.2804966937,-0.008741590499,-0.01070621813,376.9908214,376.9907087,0.1221449826,0.0479650286,-0.7688961661,0.3814163888,0.4671377661,-0.01448222253,-0.01773702777,0.1254012347,0.03863056432,0.9594649544,-0.7679879182
0.0029,0.2290177135,0.2804882701,-0.008745694229,-0.01071124415,376.9906941,376.9906536,0.1221437987,0.04796715047,-0.7688945965,0.3814289236,0.467153118,-0.01448393177,-0.01773912116,0.1254019873,0.03863259833,0.9594643428,-0.7679744654
0.003,0.2290123167,0.2804816604,-0.008749237766,-0.01071558408,376.9905689,376.990601,0.1221435383,0.04796949132,-0.7688930064,0.3814418598,0.4671689615,-0.01448507054,-0.01774051586,0.1254037306,0.03863476501,0.9594637269,-0.767966412
0.0031,0.2290084376,0.2804769094,-0.008752197586,-0.01071920911,376.9904466,376.9905514,0.1221442036,0.04797203739,-0.7688914051,0.3814551138,0.4671851943,-0.0144856264,-0.01774119664,0.125406454,0.03863705149,0.9594631103,-0.767963816
